slug,view_count,event,filmed
susan_savage_rumbaugh_on_apes_that_write,2272836,TED2004,2004-02-02
susan_shaw_the_oil_spill_s_toxic_trade_off,222069,TEDxOilSpill,2010-06-28
susan_solomon_the_promise_of_research_with_stem_cells,846841,TEDGlobal 2012,2012-06-28
suzana_herculano_houzel_what_is_so_special_about_the_human_brain,2541253,TEDGlobal 2013,2013-06-12
suzanne_barakat_islamophobia_killed_my_brother_let_s_end_the_hate,1243843,TEDWomen 2016,2016-10-28
suzanne_lee_grow_your_own_clothes,1251441,TED2011,2011-03-02
suzanne_simard_how_trees_talk_to_each_other,2595816,TEDSummit,2016-06-29
suzanne_talhouk_don_t_kill_your_language,1271146,TEDxBeirut,2012-12-18
svante_paeaebo_dna_clues_to_our_inner_neanderthal,1411899,TEDGlobal 2011,2011-07-14
swami_dayananda_saraswati,287410,Chautauqua Institution,2009-10-01
sxip_shirey_at_the_breathing_place,219601,TED2008,2008-02-12
sylvia_earle_s_ted_prize_wish_to_protect_our_oceans,1177522,TED2009,2009-02-05
t_boone_pickens_let_s_transform_energy_with_natural_gas,620269,TED2012,2012-03-01
t_morgan_dixon_and_vanessa_garrison_walking_as_a_revolutionary_act_of_self_care,1051805,TED2017,2017-04-24
tabetha_boyajian_the_most_mysterious_star_in_the_universe,3175652,TED2016,2016-02-16
taiye_selasi_don_t_ask_where_i_m_from_ask_where_i_m_a_local,2291144,TEDGlobal 2014,2014-10-07
takaharu_tezuka_the_best_kindergarten_you_ve_ever_seen,4308384,TEDxKyoto,2014-09-28
tal_danino_we_can_use_bacteria_to_detect_cancer_and_maybe_treat_it,1244584,TED2015,2015-03-16
tal_golesworthy_how_i_repaired_my_own_heart,1347630,TEDxKrakow,2011-10-11
tali_sharot_the_optimism_bias,2041504,TED2012,2012-02-29
talithia_williams_own_your_body_s_data,1405269,TEDxClaremontColleges,2014-02-12
tan_le_a_headset_that_reads_your_brainwaves,2501743,TEDGlobal 2010,2010-07-16
tan_le_my_immigration_story,1116964,TEDxWomen 2011,2011-12-01
tania_luna_how_a_penny_made_me_feel_like_a_millionaire,1678203,TED@New York,2012-07-12
tania_simoncelli_should_you_be_able_to_patent_a_human_gene,1076567,TEDxAmoskeagMillyard,2014-11-15
tara_winkler_why_we_need_to_end_the_era_of_orphanages,921488,TEDxSydney,2016-05-24
taryn_simon_photographs_secret_sites,1609697,TEDGlobal 2009,2009-07-23
taryn_simon_the_stories_behind_the_bloodlines,785211,TEDSalon London Fall 2011,2011-11-10
tasos_frantzolas_everything_you_hear_on_film_is_a_lie,1280694,TEDxAthens,2016-02-06
tasso_azevedo_hopeful_lessons_from_the_battle_to_save_rainforests,889270,TEDGlobal 2014,2014-10-16
tavi_gevinson_a_teen_just_trying_to_figure_it_out,1509808,TEDxTeen,2012-03-31
taylor_mali_what_teachers_make,690494,Bowery Poetry Club,2005-11-12
taylor_wilson_my_radical_plan_for_small_nuclear_fission_reactors,1597627,TED2013,2013-02-27
taylor_wilson_yup_i_built_a_nuclear_fusion_reactor,3261007,TED2012,2012-03-01
ted_halstead_a_climate_solution_where_all_sides_can_win,1141529,TED2017,2017-04-24
teddy_cruz_how_architectural_innovations_migrate_across_borders,697641,TEDGlobal 2013,2013-06-12
teenaged_boy_wonders_play_bluegrass,1844875,TED@New York,2012-06-07
teitur_home_is_a_song_i_ve_always_remembered,1047997,TED2015,2015-03-19
temple_grandin_the_world_needs_all_kinds_of_minds,4504615,TED2010,2010-02-10
teresa_njoroge_what_i_learned_serving_time_for_a_crime_i_didn_t_commit,915127,TEDWomen 2017,2017-11-01
terry_moore_how_to_tie_your_shoes,6373561,TED2005,2005-02-02
