slug,view_count,event,filmed
francoise_mouly_the_stories_behind_the_new_yorker_s_iconic_covers,1015861,TEDNYC,2017-03-08
frank_gehry_as_a_young_rebel,632071,TED1990,1990-03-03
frank_gehry_asks_then_what,972820,TED2002,2002-02-28
frank_warren_half_a_million_secrets,3088372,TED2012,2012-02-29
frans_de_waal_do_animals_have_morals,3724565,TEDxPeachtree,2011-11-04
frans_lanting_photos_that_give_voice_to_the_animal_kingdom,1464195,TED2014,2014-03-11
frans_lanting_s_lyrical_nature_photos,1759692,TED2005,2005-02-02
franz_freudenthal_a_new_way_to_heal_hearts_without_surgery,1263165,TED2016,2016-02-16
fred_jansen_how_to_land_on_a_comet,1115232,TED2015,2015-03-17
fred_swaniker_the_leaders_who_ruined_africa_and_the_generation_who_can_fix_it,1255332,TEDGlobal 2014,2014-10-22
frederic_kaplan_how_i_built_an_information_time_machine,1197066,TEDxCaFoscariU,2013-06-19
frederick_balagadde_bio_lab_on_a_microchip,297916,TED2010,2010-02-11
fredy_peccerelli_a_forensic_anthropologist_who_brings_closure_for_the_disappeared,727900,TEDYouth 2014,2014-11-15
freeman_dyson_says_let_s_look_for_life_in_the_outer_solar_system,912303,TED2003,2003-02-02
freeman_hrabowski_4_pillars_of_college_success_in_science,930638,TED2013,2013-02-28
g_t_bynum_a_republican_mayor_s_plan_to_replace_partisanship_with_policy,685504,TEDxPennsylvaniaAvenue,2017-02-09
gabby_giffords_and_mark_kelly_be_passionate_be_courageous_be_your_best,1063850,TED2014,2014-03-21
gabe_barcia_colombo_my_dna_vending_machine,801260,TED Fellows Retreat 2013,2013-08-19
gabe_zichermann_how_games_make_kids_smarter,451735,TEDxKids@Brussels,2011-06-01
gabriel_barcia_colombo_capturing_memories_in_video_art,755445,TED2012,2012-02-27
gabriela_gonzalez_how_ligo_discovered_gravitational_waves_and_what_might_be_next,388747,TED2017,2017-04-24
gail_reed_where_to_train_the_world_s_doctors_cuba,780998,TEDMED 2014,2014-09-10
garik_israelian_what_s_inside_a_star,598301,TEDGlobal 2009,2009-07-23
garrett_lisi_on_his_theory_of_everything,1523079,TED2008,2008-02-02
garry_kasparov_don_t_fear_intelligent_machines_work_with_them,1238595,TED2017,2017-04-24
garth_lenz_images_of_beauty_and_devastation,802860,TEDxVictoria,2011-11-19
gary_flake_is_pivot_a_turning_point_for_web_exploration,662766,TED2010,2010-02-02
gary_greenberg_the_beautiful_nano_details_of_our_world,1034608,TEDxMaui,2012-04-10
gary_haugen_the_hidden_reason_for_poverty_the_world_needs_to_address_now,1707657,TED2015,2015-03-17
gary_kovacs_tracking_the_trackers,2121925,TED2012,2012-02-29
gary_lauder_s_new_traffic_sign_take_turns,581251,TED2010,2010-02-02
gary_slutkin_let_s_treat_violence_like_a_contagious_disease,744060,TEDMED 2013,2013-04-17
gary_vaynerchuk_do_what_you_love_no_excuses,778975,Web 2.0 Expo 2008,2008-09-19
gary_wolf_the_quantified_self,895786,TED@Cannes,2010-06-15
gautam_bhan_a_bold_plan_to_house_100_million_people,233188,TED Talks India,2017-12-10
gavin_pretor_pinney_cloudy_with_a_chance_of_joy,1234539,TEDGlobal 2013,2013-06-13
gavin_schmidt_the_emergent_patterns_of_climate_change,1168127,TED2014,2014-03-12
gayle_tzemach_lemmon_meet_the_first_women_to_fight_on_the_front_lines_of_an_american_war,1147143,TEDWomen 2015,2015-05-29
gayle_tzemach_lemmon_women_entrepreneurs_example_not_exception,561372,TEDxWomen 2011,2011-12-02
ge_wang_the_diy_orchestra_of_the_future,1181318,TEDxStanford,2014-05-10
geena_rocero_why_i_must_come_out,3182095,TED2014,2014-03-19
gel_gotta_share,359961,Gel Conference,2011-04-28
genevieve_von_petzinger_why_are_these_32_symbols_found_in_ancient_caves_all_over_europe,3906046,TED Fellows Retreat 2015,2015-08-26
geoff_mulgan_a_short_intro_to_the_studio_school,678887,TEDGlobal 2011,2011-07-12
geoff_mulgan_post_crash_investing_in_a_better_world_1,312423,TEDGlobal 2009,2009-07-24
geoffrey_canada_our_failing_schools_enough_is_enough,1857547,TED Talks Education,2013-05-07
geoffrey_west_the_surprising_math_of_cities_and_corporations,1453159,TEDGlobal 2011,2011-07-12
george_ayittey_on_cheetahs_vs_hippos,665493,TEDGlobal 2007,2007-06-05
george_dyson_at_the_birth_of_the_computer,855876,TED2003,2003-03-03
george_dyson_on_project_orion,793731,TED2002,2002-02-02
george_monbiot_for_more_wonder_rewild_the_world,907872,TEDGlobal 2013,2013-07-08
george_papandreou_imagine_a_european_democracy_without_borders,755350,TEDGlobal 2013,2013-06-11
george_smoot_on_the_design_of_the_universe,1669925,Serious Play 2008,2008-05-08
george_takei_why_i_love_a_country_that_once_betrayed_me,2398712,TEDxKyoto,2014-06-04
george_tulevski_the_next_step_in_nanotechnology,1330988,TED@IBM,2016-11-15
george_whitesides_a_lab_the_size_of_a_postage_stamp,501004,TEDxBoston 2009,2009-07-28
george_whitesides_toward_a_science_of_simplicity,626117,TED2010,2010-02-13
georgette_mulheir_the_tragedy_of_orphanages,814195,TEDSalon London Spring 2012,2012-05-10
geraldine_hamilton_body_parts_on_a_chip,1531649,TEDxBoston,2013-06-25
gerard_ryle_how_the_panama_papers_journalists_broke_the_biggest_leak_in_history,1017396,TEDSummit,2016-06-26
gero_miesenboeck,620220,TEDGlobal 2010,2010-07-16
gever_tulley_on_5_dangerous_things_for_kids,4467972,TED2007,2007-03-03
