slug,view_count,event,filmed
david_birch_identity_without_a_name,177930,TEDxSussexUniversity,2012-04-27
david_bismark_e_voting_without_fraud,550000,TEDGlobal 2010,2010-07-14
david_blaine_how_i_held_my_breath_for_17_min,16288449,TEDMED 2009,2009-10-27
david_bolinsky_animates_a_cell,1850592,TED2007,2007-03-03
david_brenner_a_new_weapon_in_the_fight_against_superbugs,703773,TED2017,2017-04-24
david_brooks_should_you_live_for_your_resume_or_your_eulogy,2360620,TED2014,2014-03-19
david_brooks_the_social_animal,1148968,TED2011,2011-03-01
david_burkus_why_you_should_know_how_much_your_coworkers_get_paid,1800727,TEDxUniversityofNevada,2016-01-23
david_byrne_how_architecture_helped_music_evolve,1253254,TED2010,2010-02-12
david_byrne_sings_nothing_but_flowers,635953,TED2010,2010-02-12
david_camarillo_why_helmets_don_t_prevent_concussions_and_what_might,1244991,TEDxStanford,2016-04-24
david_cameron,667026,TED2010,2010-02-10
david_carson_on_design,794019,TED2003,2003-02-02
david_casarett_a_doctor_s_case_for_medical_marijuana,1194064,TEDMED 2016,2016-11-30
david_chalmers_how_do_you_explain_consciousness,2274038,TED2014,2014-03-18
david_christian_big_history,7927515,TED2011,2011-03-04
david_damberger_what_happens_when_an_ngo_admits_failure,226696,TEDxYYC,2011-04-01
david_deutsch_a_new_way_to_explain_explanation,974065,TEDGlobal 2009,2009-07-23
david_deutsch_on_our_place_in_the_cosmos,1125470,TEDGlobal 2005,2005-07-14
david_eagleman_can_we_create_new_senses_for_humans,1865975,TED2015,2015-03-17
david_epstein_are_athletes_really_getting_faster_better_stronger,3486441,TED2014,2014-03-20
david_gallo_on_life_in_the_deep_oceans,1009429,TED1998,1998-02-28
david_gallo_shows_underwater_astonishments,14194602,TED2007,2007-03-03
david_grady_how_to_save_the_world_or_at_least_yourself_from_bad_meetings,2165494,TED@State Street Boston,2013-10-17
david_griffin_on_how_photography_connects,1097007,TED2008,2008-02-02
david_gruber_glow_in_the_dark_sharks_and_other_stunning_sea_creatures,1911290,Mission Blue II,2015-10-10
david_hanson_robots_that_relate_to_you,924703,TED2009,2009-02-04
david_hoffman_on_losing_everything,947749,TED2008,2008-02-02
david_hoffman_shares_his_sputnik_mania,321514,TED2007,2007-03-03
david_holt_plays_mountain_music,521705,TED2004,2004-03-01
david_keith_s_surprising_ideas_on_climate_change,938032,TEDSalon 2007 Hot Science,2007-09-09
david_kelley_how_to_build_your_creative_confidence,4569450,TED2012,2012-03-01
david_kelley_on_human_centered_design,813133,TED2002,2002-02-02
david_kwong_two_nerdy_obsessions_meet_and_it_s_magic,1657681,TED2014,2014-03-21
david_lang_my_underwater_robot,1240305,TED2013,2013-02-25
david_lee_why_jobs_of_the_future_won_t_feel_like_work,1456827,TED@UPS,2017-07-20
david_logan_on_tribal_leadership,1440058,TEDxUSC,2009-03-23
david_macaulay_s_rome_antics,710564,TED2002,2002-02-02
david_mackay_a_reality_check_on_renewables,473716,TEDxWarwick,2012-03-12
david_mccandless_the_beauty_of_data_visualization,2668509,TEDGlobal 2010,2010-07-09
david_merrill_demos_siftables_the_smart_blocks,1773297,TED2009,2009-02-06
david_miliband_the_refugee_crisis_is_a_test_of_our_character,1233040,TED2017,2017-04-24
david_perry_on_videogames,1108350,TED2006,2006-02-02
david_pizarro_the_strange_politics_of_disgust,700839,TEDxEast,2012-05-11
david_pogue_10_top_time_saving_tech_tips,4887319,TED2013,2013-02-25
david_pogue_on_cool_phone_tricks,738912,EG 2008,2008-12-12
david_pogue_on_the_music_wars,610534,TED2007,2007-03-03
david_pogue_says_simplicity_sells,1665222,TED2006,2006-02-24
david_puttnam_what_happens_when_the_media_s_priority_is_profit,881004,TEDxHousesOfParliament,2013-06-20
david_r_dow_lessons_from_death_row_inmates,3217909,TEDxAustin,2012-02-11
david_r_williams_how_racism_makes_us_sick,1091134,TEDMED 2016,2016-11-30
david_rothkopf_how_fear_drives_american_politics,1228176,TED2015,2015-03-16
david_s_rose_on_pitching_to_vcs,1047869,TED2007,2007-03-01
david_sedlak_4_ways_we_can_avoid_a_catastrophic_drought,1043578,TEDxMarin,2015-09-17
