slug,view_count,event,filmed
ron_eglash_on_african_fractals,1557871,TEDGlobal 2007,2007-06-06
ron_finley_a_guerilla_gardener_in_south_central_la,3069550,TED2013,2013-02-28
ron_gutman_the_hidden_power_of_smiling,4746631,TED2011,2011-03-02
ron_mccallum_how_technology_allowed_me_to_read,689576,TEDxSydney,2013-07-08
ronald_sullivan_how_i_help_free_innocent_people_from_prison,733092,TEDxMidAtlantic,2016-10-21
rory_bremner_s_one_man_world_summit,1125239,TEDGlobal 2009,2009-07-24
rory_stewart_how_to_rebuild_democracy,865614,TEDxHousesOfParliament,2012-06-12
rory_stewart_time_to_end_the_war_in_afghanistan,666962,TEDGlobal 2011,2011-07-15
rory_sutherland_life_lessons_from_an_ad_man,2934556,TEDGlobal 2009,2009-07-23
rory_sutherland_perspective_is_everything,2413160,TEDxAthens,2011-12-03
rory_sutherland_sweat_the_small_stuff,1083445,TEDSalon London 2010,2010-04-19
rose_george_inside_the_secret_shipping_industry,1447885,TED@BCG Singapore,2013-10-18
rose_george_let_s_talk_crap_seriously,1652282,TED2013,2013-02-27
rose_goslinga_crop_insurance_an_idea_worth_seeding,566639,TEDSalon Berlin 2014,2014-06-23
roselinde_torres_what_it_takes_to_be_a_great_leader,3883913,TED@BCG San Francisco,2013-10-30
rosie_king_how_autism_freed_me_to_be_myself,2311935,TEDMED 2014,2014-09-09
roxane_gay_confessions_of_a_bad_feminist,1504158,TEDWomen 2015,2015-05-28
roy_gould_and_curtis_wong_preview_the_worldwide_telescope,1038465,TED2008,2008-02-27
roz_savage_why_i_m_rowing_across_the_pacific,649870,Mission Blue Voyage,2010-04-08
ruby_wax_what_s_so_funny_about_mental_illness,2425664,TEDGlobal 2012,2012-06-26
rufus_griscom_alisa_volkman_let_s_talk_parenting_taboos,2147111,TEDWomen 2010,2010-12-08
rupal_patel_synthetic_voices_as_unique_as_fingerprints,863276,TEDWomen 2013,2013-12-05
russ_altman_what_really_happens_when_you_mix_medications,1618236,TEDMED 2015,2015-11-18
russell_foster_why_do_we_sleep,6703661,TEDGlobal 2013,2013-06-13
rutger_bregman_poverty_isn_t_a_lack_of_character_it_s_a_lack_of_cash,1715162,TED2017,2017-04-24
ruth_chang_how_to_make_hard_choices,5719002,TEDSalon NY2014,2014-05-15
ryan_gravel_how_an_old_loop_of_railroads_is_changing_the_face_of_a_city,839118,TEDNYC,2016-10-05
ryan_holladay_to_hear_this_music_you_have_to_be_there_literally,1294575,TED@BCG San Francisco,2013-10-30
ryan_lobo_through_the_lens_of_compassion,546816,TEDIndia 2009,2009-11-06
ryan_merkley_online_video_annotated_remixed_and_popped,702949,TEDGlobal 2012,2012-06-26
safwat_saleem_why_i_keep_speaking_up_even_when_people_mock_my_accent,1419977,TED2016,2016-02-15
sajay_samuel_how_college_loans_exploit_students_for_profit,1141703,TEDxPSU,2016-02-28
sakena_yacoobi_how_i_stopped_the_taliban_from_shutting_down_my_school,1394874,TEDWomen 2015,2015-05-28
saki_mafundikwa_ingenuity_and_elegance_in_ancient_african_alphabets,733219,TED2013,2013-02-28
sal_khan_let_s_teach_for_mastery_not_test_scores,2482614,TED Talks Live,2015-11-02
salil_dudani_how_jails_extort_the_poor,985969,TEDxStanford,2016-04-24
sally_kohn_don_t_like_clickbait_don_t_click,1259624,TED@NYC,2014-07-08
sally_kohn_let_s_try_emotional_correctness,1866731,TED@NYC,2013-10-14
salman_khan_let_s_use_video_to_reinvent_education,4714934,TED2011,2011-03-02
salvatore_iaconesi_what_happened_when_i_open_sourced_my_brain_cancer,1134785,TEDMED 2013,2013-06-09
sam_harris_can_we_build_ai_without_losing_control_over_it,2995401,TEDSummit,2016-06-26
sam_harris_science_can_show_what_s_right,3553212,TED2010,2010-02-11
sam_kass_want_to_teach_kids_well_feed_them_well,1432119,TED Talks Live,2015-11-02
sam_martin_builds_a_room_of_his_own,763724,TEDGlobal 2009,2009-07-24
