slug,view_count,event,filmed
sharon_brous_it_s_time_to_reclaim_and_reinvent_religion,1262521,TEDWomen 2016,2016-10-28
sharon_terry_science_didn_t_understand_my_kids_rare_disease_until_i_decided_to_study_it,1169632,TEDMED 2016,2016-11-30
shashi_tharoor,1498574,TEDIndia 2009,2009-11-07
shawn_achor_the_happy_secret_to_better_work,16898243,TEDxBloomington,2011-05-11
shea_hembrey_how_i_became_100_artists,1501214,TED2011,2011-03-03
sheena_iyengar_choosing_what_to_choose,2364903,TEDSalon NY2011,2011-11-09
sheena_iyengar_on_the_art_of_choosing,3167112,TEDGlobal 2010,2010-07-15
sheikha_al_mayassa_globalizing_the_local_localizing_the_global,672530,TEDWomen 2010,2010-12-02
sheila_nirenberg_a_prosthetic_eye_to_treat_blindness,399706,TEDMED 2011,2011-10-12
sheila_patek_clocks_the_fastest_animals,1183297,TED2004,2004-02-25
shekhar_kapur_we_are_the_stories_we_tell_ourselves,744359,TEDIndia 2009,2009-11-11
shereen_el_feki_a_little_told_tale_of_sex_and_sensuality,1917802,TEDGlobal 2013,2013-06-13
shereen_el_feki_how_to_fight_an_epidemic_of_bad_laws,510064,TEDxSummit,2012-04-18
shereen_el_feki_pop_culture_in_the_arab_world,491573,TEDGlobal 2009,2009-07-12
sherry_turkle_alone_together,4281099,TED2012,2012-02-29
sherwin_nuland_on_electroshock_therapy,1585308,TED2003,2001-02-02
sherwin_nuland_on_hope,351639,TED2003,2003-02-02
sheryl_sandberg_so_we_leaned_in_now_what,2226322,TEDWomen 2013,2013-12-05
sheryl_sandberg_why_we_have_too_few_women_leaders,7766775,TEDWomen 2010,2010-12-08
sheryl_wudunn_our_century_s_greatest_injustice,1063845,TEDGlobal 2010,2010-07-15
shigeru_ban_emergency_shelters_made_from_paper,1604166,TEDxTokyo,2013-05-01
