slug,view_count,event,filmed
eduardo_briceno_how_to_get_better_at_the_things_you_care_about,2303320,TEDxManhattanBeach,2016-11-05
eduardo_paes_the_4_commandments_of_cities,845545,TED2012,2012-02-29
eduardo_saenz_de_cabezon_math_is_forever,1660902,TEDxRiodelaPlata,2014-10-01
edward_burtynsky_on_manufactured_landscapes,1015564,TED2005,2005-02-17
edward_burtynsky_photographs_the_landscape_of_oil,493304,TEDGlobal 2009,2009-07-21
edward_snowden_here_s_how_we_take_back_the_internet,4178689,TED2014,2014-03-18
edward_tenner_unintended_consequences,795214,TED2011,2011-03-02
edwidge_danticat_stories_of_haiti,51206,University of California,2004-10-13
einstein_the_parrot_talks_and_squawks,2382703,TED2006,2006-02-02
el_seed_a_project_of_peace_painted_across_50_buildings,838996,TEDSummit,2016-06-26
el_seed_street_art_with_a_message_of_hope_and_peace,1431037,TED2015,2015-03-16
elaine_morgan_says_we_evolved_from_aquatic_apes,1048770,TEDGlobal 2009,2009-07-22
eleanor_longden_the_voices_in_my_head,4181449,TED2013,2013-02-28
elene_gabre_madhin_on_ethiopian_economics,589301,TEDGlobal 2007,2007-06-06
eli_beer_the_fastest_ambulance_a_motorcycle,1072673,TEDMED 2013,2013-04-16
eli_pariser_beware_online_filter_bubbles,4151286,TED2011,2011-03-03
elif_shafak_the_politics_of_fiction,1868780,TEDGlobal 2010,2010-07-14
elif_shafak_the_revolutionary_power_of_diverse_thought,1363674,TEDGlobal>NYC,2017-09-20
elise_roy_when_we_design_for_disability_we_all_benefit,1201406,TEDxMidAtlantic,2015-09-25
elizabeth_blackburn_the_science_of_cells_that_never_get_old,1095018,TED2017,2017-04-24
elizabeth_gilbert_on_genius,14032654,TED2009,2009-02-05
elizabeth_gilbert_success_failure_and_the_drive_to_keep_creating,3841372,TED2014,2014-03-19
elizabeth_lesser_say_your_truths_and_seek_them_in_others,1347803,TEDWomen 2016,2016-10-27
elizabeth_lesser_take_the_other_to_lunch,1273507,TEDWomen 2010,2010-12-08
elizabeth_lev_the_unheard_story_of_the_sistine_chapel,1511416,TEDGlobal>Geneva,2015-12-08
elizabeth_lindsey_curating_humanity_s_heritage,445169,TEDWomen 2010,2010-12-08
elizabeth_loftus_the_fiction_of_memory,3489086,TEDGlobal 2013,2013-06-11
elizabeth_murchison,489324,TEDGlobal 2011,2011-07-14
elizabeth_nyamayaro_an_invitation_to_men_who_want_a_better_world_for_women,1291157,TEDWomen 2015,2015-05-28
elizabeth_pisani_sex_drugs_and_hiv_let_s_get_rational_1,1254030,TED2010,2010-02-12
elizabeth_wayne_we_can_hack_our_immune_cells_to_fight_cancer,1036406,TED2017,2017-04-24
ellen_dunham_jones_retrofitting_suburbia,681355,TEDxAtlanta,2010-01-26
ellen_gustafson_obesity_hunger_1_global_food_issue,682090,TEDxEast,2010-05-07
ellen_jorgensen_biohacking_you_can_do_it_too,1184973,TEDGlobal 2012,2012-06-22
ellen_jorgensen_what_you_need_to_know_about_crispr,1493726,TEDSummit,2016-06-27
ellen_t_hoen_pool_medical_patents_save_lives,395188,TEDxZurich 2012,2012-10-25
elliot_krane_the_mystery_of_chronic_pain,1806914,TED2011,2011-03-02
elon_musk_the_future_we_re_building_and_boring,7906237,TED2017,2017-04-24
elon_musk_the_mind_behind_tesla_spacex_solarcity,4884578,TED2013,2013-02-28
elora_hardy_magical_houses_made_of_bamboo,3479380,TED2015,2015-03-18
elyn_saks_seeing_mental_illness,3367186,TEDGlobal 2012,2012-06-27
eman_mohammed_the_courage_to_tell_a_hidden_story,1346783,TED2014,2014-03-14
emiliano_salinas_a_civil_response_to_violence,539518,TEDxSanMigueldeAllende,2010-11-01
emilie_wapnick_why_some_of_us_don_t_have_one_true_calling,4837769,TEDxBend,2015-04-18
emily_balcetis_why_some_people_find_exercise_harder_than_others,3227025,TEDxNewYork,2014-11-01
emily_esfahani_smith_there_s_more_to_life_than_being_happy,3196919,TED2017,2017-04-24
emily_levine_s_theory_of_everything,2105845,TED2002,2002-02-02
emily_oster_flips_our_thinking_on_aids_in_africa,864084,TED2007,2007-03-03
emily_parsons_lord_art_made_of_the_air_we_breathe,859018,TEDxYouth@Sydney,2016-05-24
emily_pilloton_teaching_design_for_change,960486,TEDGlobal 2010,2010-07-16
emma_marris_nature_is_everywhere_we_just_need_to_learn_to_see_it,1043112,TEDSummit,2016-06-26
emma_teeling_the_secret_of_the_bat_genome,481309,TEDxDublin,2012-09-22
emmanuel_jal_the_music_of_a_war_child,795247,TEDGlobal 2009,2009-07-23
emtithal_mahmoud_a_young_poet_tells_the_story_of_darfur,888457,TEDMED 2016,2016-11-30
enric_sala,321047,Mission Blue Voyage,2010-04-10
enrique_penalosa_why_buses_represent_democracy_in_action,883013,TEDCity2.0,2013-09-20
eric_berlow_and_sean_gourley_mapping_ideas_worth_spreading,1094805,TED2013,2013-02-28
eric_berlow_how_complexity_leads_to_simplicity,1176492,TEDGlobal 2010,2010-07-15
eric_dishman_health_care_should_be_a_team_sport,865197,TED@Intel,2013-03-27
eric_dishman_take_health_care_off_the_mainframe,390027,TEDMED 2009,2009-11-11
eric_dyer_the_forgotten_art_of_the_zoetrope,851005,TEDxCharlottesville,2016-11-11
eric_giler_demos_wireless_electricity,2106515,TEDGlobal 2009,2009-07-23
eric_haseltine_what_will_be_the_next_big_scientific_breakthrough,1507408,TED Talks Live,2015-11-05
eric_lewis_plays_chaos_and_harmony,394144,TED2009,2009-02-05
eric_lewis_strikes_chords_to_rock_the_jazz_world,702770,TED2009,2009-02-06
eric_liu_there_s_no_such_thing_as_not_voting,808668,TEDNYC,2016-09-07
eric_liu_why_ordinary_people_need_to_understand_power,1830962,TEDCity2.0,2013-09-20
eric_mead_the_magic_of_the_placebo,1042761,TEDMED 2009,2009-10-10
eric_sanderson_pictures_new_york_before_the_city,1507780,TEDGlobal 2009,2009-07-22
eric_topol_the_wireless_future_of_medicine,719614,TEDMED 2009,2009-10-10
eric_whitacre_a_virtual_choir_2_000_voices_strong,3471412,TED2011,2011-03-01
eric_whitacre_virtual_choir_live,1020042,TED2013,2013-03-01
eric_x_li_a_tale_of_two_political_systems,2495277,TEDGlobal 2013,2013-06-12
erica_frenkel_the_universal_anesthesia_machine,323544,TEDxMidAtlantic,2011-12-02
erik_brynjolfsson_the_key_to_growth_race_em_with_em_the_machines,1219958,TED2013,2013-02-26
erik_hersman_on_reporting_crisis_via_texting,410878,TED2009,2009-02-06
erik_johansson_impossible_photography,3747067,TEDSalon London Fall 2011,2011-11-08
erik_schlangen_a_self_healing_asphalt,993152,TEDxDelft,2012-10-05
erika_gregory_the_world_doesn_t_need_more_nuclear_weapons,919134,TEDWomen 2016,2016-10-28
erin_marie_saltman_how_young_people_join_violent_extremist_groups_and_how_to_stop_them,980100,TEDxGhent,2016-06-18
erin_mckean_go_ahead_make_up_new_words,1614128,TEDYouth 2014,2014-11-15
erin_mckean_redefines_the_dictionary,1051498,TED2007,2007-03-03
ernest_madu_on_world_class_health_care,377764,TEDGlobal 2007,2007-06-06
ernesto_sirolli_want_to_help_someone_shut_up_and_listen,2895519,TEDxEQChCh,2012-09-01
esta_soler_how_we_turned_the_tide_on_domestic_violence_hint_the_polaroid_helped,1076112,TEDWomen 2013,2013-12-05
esther_duflo_social_experiments_to_fight_poverty,903434,TED2010,2010-02-12
esther_perel_rethinking_infidelity_a_talk_for_anyone_who_has_ever_loved,8975431,TED2015,2015-03-19
esther_perel_the_secret_to_desire_in_a_long_term_relationship,11330076,TEDSalon NY2013,2013-02-11
ethan_nadelmann_why_we_need_to_end_the_war_on_drugs,1652968,TEDGlobal 2014,2014-10-15
ethan_zuckerman,710762,TEDGlobal 2010,2010-07-14
ethel_performs_blue_room,391085,TED2006,2006-02-02
euna_lee_what_i_learned_as_a_prisoner_in_north_korea,1736178,TEDxIndianaUniversity,2016-10-29
euvin_naidoo_on_investing_in_africa,358237,TEDGlobal 2007,2007-06-04
eva_vertes_looks_to_the_future_of_medicine,1046073,TED2005,2005-02-26
eva_zeisel_on_the_playful_search_for_beauty,447054,TED2001,2001-02-02
evan_grant_cymatics,829652,TEDGlobal 2009,2009-07-23
evan_williams_on_listening_to_twitter_users,1149411,TED2009,2009-02-05
eve_ensler,1364953,TEDWomen 2010,2010-12-04
eve_ensler_embrace_your_inner_girl,1251687,TEDIndia 2009,2009-11-06
eve_ensler_on_happiness_in_body_and_soul,1159400,TED2004,2004-02-04
eve_ensler_on_security,1094416,TEDGlobal 2005,2005-07-07
evelyn_glennie_shows_how_to_listen,4279956,TED2003,2003-02-02
evgeny_morozov_is_the_internet_what_orwell_feared,435433,TEDGlobal 2009,2009-07-23
ex_moonie_diane_benscoter_how_cults_think,1097520,TED2009,2009-02-06
eythor_bender_demos_human_exoskeletons,1378462,TED2011,2011-03-02
fabian_hemmert_the_shape_shifting_future_of_the_mobile_phone,884035,TEDxBerlin,2010-02-02
fabian_oefner_psychedelic_science,1812398,TEDGlobal 2013,2013-06-12
fabien_cousteau_what_i_learned_from_spending_31_days_underwater,1226718,TEDGlobal 2014,2014-10-13
fahad_al_attiya_a_country_with_no_water,1431442,TEDxSummit,2012-04-22
faith_jegede_what_i_ve_learned_from_my_autistic_brothers,1151411,TED@London,2012-04-22
fawn_qiu_easy_diy_projects_for_kid_engineers,1085114,TED Residency,2016-07-12
fei_fei_li_how_we_re_teaching_computers_to_understand_pictures,2144803,TED2015,2015-03-17
fields_wicker_miurin_learning_from_leadership_s_missing_manual,1000246,TEDSalon London 2009,2009-09-21
fiorenzo_omenetto_silk_the_ancient_material_of_the_future,753879,TED2011,2011-03-03
frances_larson_why_public_beheadings_get_millions_of_views,1116289,TEDGlobalLondon,2015-06-16
francesco_sauro_deep_under_the_earth_s_surface_discovering_beauty_and_science,1445444,TEDGlobal>London,2015-09-29
francis_collins_we_need_better_drugs_now,815513,TEDMED 2012,2012-04-12
francis_de_los_reyes_sanitation_is_a_basic_human_right,763372,TED Fellows Retreat 2013,2013-08-14
