slug,view_count,event,filmed
theaster_gates_how_to_revive_a_neighborhood_with_imagination_beauty_and_art,1049576,TED2015,2015-03-18
thelma_golden_how_art_gives_shape_to_cultural_change,542364,TED2009,2009-02-10
theo_e_j_wilson_a_black_man_goes_undercover_in_the_alt_right,1360207,TEDxMileHigh,2017-07-08
theo_jansen_creates_new_creatures,4038732,TED2007,2007-03-03
they_might_be_giants_play_at_8_30_am,367797,TED2007,2007-03-03
thom_mayne_on_architecture_as_connection,682841,TED2005,2005-02-25
thomas_barnett_draws_a_new_map_for_peace,1156657,TED2005,2005-02-02
thomas_dolby_and_rachelle_garniez,449940,TED2004,2004-02-02
thomas_goetz_it_s_time_to_redesign_medical_data,512730,TEDMED 2010,2010-10-10
thomas_heatherwick,1604871,TED2011,2011-03-02
thomas_hellum_the_world_s_most_boring_television_and_why_it_s_hilariously_addictive,2092503,TEDxArendal,2014-08-15
thomas_insel_toward_a_new_understanding_of_mental_illness,1224067,TEDxCaltech,2013-01-18
thomas_p_campbell_weaving_narratives_in_museum_galleries,632125,TED2012,2012-03-01
thomas_peschak_dive_into_an_ocean_photographer_s_world,925456,Mission Blue II,2015-10-10
thomas_piketty_new_thoughts_on_capital_in_the_twenty_first_century,1385634,TEDSalon Berlin 2014,2014-06-23
thomas_pogge_medicine_for_the_99_percent,244371,TEDxCanberra,2011-09-24
thomas_suarez_a_12_year_old_app_developer,7118749,TEDxManhattanBeach,2011-10-22
thomas_thwaites_how_i_built_a_toaster_from_scratch,1325357,TEDSalon London 2010,2010-11-11
thordis_elva_tom_stranger_our_story_of_rape_and_reconciliation,4238215,TEDWomen 2016,2016-10-26
thulasiraj_ravilla_how_low_cost_eye_care_can_be_world_class,301498,TEDIndia 2009,2009-11-05
tierney_thys_swims_with_the_giant_sunfish,930697,TED2003,2003-02-02
tim_berners_lee_a_magna_carta_for_the_web,1074603,TED2014,2014-03-12
tim_berners_lee_on_the_next_web,1388986,TED2009,2009-02-05
tim_berners_lee_the_year_open_data_went_worldwide,687676,TED2010,2010-02-10
tim_birkhead_the_wisdom_of_birds,113202,The Do Lectures,2009-09-18
tim_brown_on_creativity_and_play,1941267,Serious Play 2008,2008-05-07
tim_brown_urges_designers_to_think_big,1392056,TEDGlobal 2009,2009-07-22
tim_ferriss_smash_fear_learn_anything,2934983,EG 2008,2008-12-05
tim_ferriss_why_you_should_define_your_fears_instead_of_your_goals,4125387,TED2017,2017-04-24
tim_harford,1775196,TEDGlobal 2011,2011-07-13
tim_harford_how_messy_problems_can_inspire_creativity,3040728,TEDGlobal>London,2015-09-29
tim_jackson_s_economic_reality_check,917120,TEDGlobal 2010,2010-07-15
tim_kruger_can_we_stop_climate_change_by_removing_co2_from_the_air,961192,TED2017,2017-04-24
tim_leberecht_3_ways_to_usefully_lose_control_of_your_reputation,957200,TEDGlobal 2012,2012-06-25
tim_leberecht_4_ways_to_build_a_human_company_in_the_age_of_machines,1447264,TEDSummit,2016-06-28
tim_urban_inside_the_mind_of_a_master_procrastinator,17093025,TED2016,2016-02-16
timothy_bartik_the_economic_case_for_preschool,412653,TEDxMiamiUniversity,2012-09-14
timothy_ihrig_what_we_can_do_to_die_well,1306370,TEDxDesMoines,2013-09-08
timothy_prestero_design_for_people_not_awards,1033819,TEDxBoston 2012,2012-06-22
tiq_milan_and_kim_katrin_milan_a_queer_vision_of_love_and_marriage,1249151,TEDWomen 2016,2016-10-27
titus_kaphar_can_art_amend_history,1125079,TED2017,2017-04-24
toby_eccles_invest_in_social_change,930269,TEDGlobal 2013,2013-06-12
toby_shapshak_you_don_t_need_an_app_for_that,1483139,TEDGlobal 2013,2013-07-17
tod_machover_and_dan_ellsey_play_new_music,508135,TED2008,2008-03-03
todd_coleman_a_temporary_tattoo_that_brings_hospital_care_to_the_home,1180802,TEDMED 2015,2015-11-18
todd_humphreys_how_to_fool_a_gps,736819,TEDxAustin,2012-02-11
todd_kuiken_a_prosthetic_arm_that_feels,852395,TEDGlobal 2011,2011-07-14
todd_scott_an_intergalactic_guide_to_using_a_defibrillator,1027655,TEDNYC,2017-01-26
tom_chatfield_7_ways_games_reward_the_brain,1041970,TEDGlobal 2010,2010-07-14
tom_gruber_how_ai_can_enhance_our_memory_work_and_social_lives,1501630,TED2017,2017-04-24
tom_honey_on_god_and_the_tsunami,626085,TED2005,2005-02-02
tom_hulme_what_can_we_learn_from_shortcuts,1463503,TED2016,2016-02-17
tom_rielly_delivers_a_comic_send_up_of_ted2006,619524,TED2006,2006-02-02
tom_shannon_s_magnetic_sculpture,1087714,TED2003,2003-02-27
tom_shannon_the_painter_and_the_pendulum,438290,TED in the Field,2009-05-05
tom_thum_the_orchestra_in_my_mouth,10328090,TEDxSydney,2013-05-04
tom_uglow_an_internet_without_screens_might_look_like_this,1635115,TEDxSydney,2015-05-20
tom_wujec_build_a_tower,4169865,TED2010,2010-02-14
tom_wujec_demos_the_13th_century_astrolabe,597252,TEDGlobal 2009,2009-07-23
tom_wujec_got_a_wicked_problem_first_tell_me_how_you_make_toast,2573224,TEDGlobal 2013,2013-06-10
tom_wujec_on_3_ways_the_brain_creates_meaning,1040578,TED2009,2009-02-06
tomas_saraceno_would_you_live_in_a_floating_bubble_in_the_sky,479098,TED2017,2017-04-24
toni_griffin_a_new_vision_for_rebuilding_detroit,835023,TEDCity2.0,2013-10-11
juno_mac_the_laws_that_sex_workers_really_want,1870461,TEDxEastEnd,2016-01-30
tony_fadell_the_first_secret_of_design_is_noticing,2135821,TED2015,2015-03-25
tony_porter_a_call_to_men,2391028,TEDWomen 2010,2010-12-07
tony_robbins_asks_why_we_do_what_we_do,21454365,TED2006,2006-02-02
tony_wyss_coray_how_young_blood_might_help_reverse_aging_yes_really,1529995,TEDGlobalLondon,2015-06-16
topher_white_what_can_save_the_rainforest_your_used_cell_phone,1262986,TEDxCERN,2014-09-24
torsten_reil_studies_biology_to_make_animation,328834,TED2003,2003-03-03
toys_from_the_future,416002,TED2005,2005-02-02
tracy_chevalier_finding_the_story_inside_the_painting,1220773,TEDSalon London Spring 2012,2012-05-10
travis_kalanick_uber_s_plan_to_get_more_people_into_fewer_cars,1632055,TED2016,2016-02-15
trevor_aaronson_how_this_fbi_strategy_is_actually_creating_us_based_terrorists,1270394,TED2015,2015-03-16
trevor_copp_jeff_fox_ballroom_dance_that_breaks_gender_roles,588954,TEDxMontreal,2015-11-07
trevor_timm_how_free_is_our_freedom_of_the_press,1299060,TED2016,2016-02-15
tricia_wang_the_human_insights_missing_from_big_data,1317373,TEDxCambridge,2016-09-29
triona_mcgrath_how_pollution_is_changing_the_ocean_s_chemistry,1204940,TEDxFulbrightDublin,2016-02-06
tristan_harris_how_better_tech_could_protect_us_from_distraction,1493985,TEDxBrussels,2014-12-01
tristan_harris_the_manipulative_tricks_tech_companies_use_to_capture_your_attention,1802282,TED2017,2017-04-24
tristram_stuart_the_global_food_waste_scandal,1524816,TEDSalon London Spring 2012,2012-05-10
tristram_wyatt_the_smelly_mystery_of_the_human_pheromone,1205807,TEDxLeuvenSalon,2013-09-17
trita_parsi_iran_and_israel_peace_is_possible,749718,TEDGlobal 2013,2013-06-26
tshering_tobgay_this_country_isn_t_just_carbon_neutral_it_s_carbon_negative,2048221,TED2016,2016-02-19
two_young_scientists_break_down_plastics_with_bacteria,1237538,TED2013,2013-02-28
tyler_cowen_be_suspicious_of_stories,342393,TEDxMidAtlantic,2009-11-09
tyler_dewitt_hey_science_teachers_make_it_fun,1546165,TEDxBeaconStreet,2012-11-17
tyrone_hayes_penelope_jagessar_chaffer_the_toxic_baby,460808,TEDWomen 2010,2010-12-02
ueli_gegenschatz_extreme_wingsuit_jumping,1463902,TED2009,2009-02-06
uldus_bakhtiozina_portraits_that_transform_people_into_whatever_they_want_to_be,775722,TED2017,2017-04-24
uldus_bakhtiozina_wry_photos_that_turn_stereotypes_upside_down,1501731,TED2014,2014-03-20
