public_URL,talk_id,description,views,event
"<link href=""https://www.ted.com/talks/nina_dolvik_brochmann_and_ellen_stokken_dahl_the_virginity_fraud"" rel=""canonical""/>",9126,"The hymen is still the most misunderstood part of the female body. Nina Dølvik Brochmann and Ellen Støkken Dahl share their mission to empower young people through better sex education, debunking the popular (and harmful) myths we're told about female virginity and the hymen.",1114109,TEDxOslo
"<link href=""https://www.ted.com/talks/deeyah_khan_what_we_don_t_know_about_europe_s_muslim_kids"" rel=""canonical""/>",2662,"As the child of an Afghan mother and Pakistani father raised in Norway, Deeyah Khan knows what it's like to be a young person stuck between your community and your country. In this powerful, emotional talk, the filmmaker unearths the rejection and isolation felt by many Muslim kids growing up in the West -- and the deadly consequences of not embracing our youth before extremist groups do.",1324611,TEDxExeter
"<link href=""https://www.ted.com/talks/elizabeth_lesser_take_the_other_to_lunch"" rel=""canonical""/>",1052,"There's an angry divisive tension in the air that threatens to make modern politics impossible. Elizabeth Lesser explores the two sides of human nature within us (call them ""the mystic"" and ""the warrior”) that can be harnessed to elevate the way we treat each other. She shares a simple way to begin real dialogue -- by going to lunch with someone who doesn't agree with you, and asking them three questions to find out what's really in their hearts.",1308733,TEDWomen 2010
"<link href=""https://www.ted.com/talks/david_macaulay_s_rome_antics"" rel=""canonical""/>",215,"David Macaulay relives the winding and sometimes surreal journey toward the completion of Rome Antics, his illustrated homage to the historic city.",722541,TED2002
"<link href=""https://www.ted.com/talks/mei_lin_neo_the_fascinating_secret_lives_of_giant_clams"" rel=""canonical""/>",2872,"When you think about the deep blue sea, you might instantly think of whales or coral reefs. But spare a thought for giant clams, the world's largest living shellfish. These incredible creatures can live to 100, grow up to four and a half feet long and weigh as much as three baby elephants. In this charming talk, marine biologist Mei Lin Neo shares why she's obsessively trying to turn these legendary sea creatures into heroes of the oceans.",1127198,TED2017
"<link href=""https://www.ted.com/talks/sajay_samuel_how_college_loans_exploit_students_for_profit"" rel=""canonical""/>",2523,"""Once upon a time in America,"" says professor Sajay Samuel, ""going to college did not mean graduating with debt."" Today, higher education has become a consumer product -- costs have skyrocketed, saddling students with a combined debt of over $1 trillion, while universities and loan companies make massive profits. Samuel proposes a radical solution: link tuition costs to a degree's expected earnings, so that students can make informed decisions about their future, restore their love of learning and contribute to the world in a meaningful way.",1202925,TEDxPSU
"<link href=""https://www.ted.com/talks/david_camarillo_why_helmets_don_t_prevent_concussions_and_what_might"" rel=""canonical""/>",2581,"What is a concussion? Probably not what you think it is. In this talk from the cutting edge of research, bioengineer (and former football player) David Camarillo shows what really happens during a concussion -- and why standard sports helmets don't prevent it. Here's what the future of concussion prevention looks like.",1312932,TEDxStanford
"<link href=""https://www.ted.com/talks/morgana_bailey_the_danger_of_hiding_who_you_are"" rel=""canonical""/>",2171,"Morgana Bailey has been hiding her true self for 16 years. In a brave talk, she utters four words that might not seem like a big deal to some, but to her have been paralyzing. Why speak up? Because she's realized that her silence has personal, professional and societal consequences. In front of an audience of her co-workers, she reflects on what it means to fear the judgment of others, and how it makes us judge ourselves.",2737258,TED@State Street London
"<link href=""https://www.ted.com/talks/roberto_d_angelo_francesca_fedeli_in_our_baby_s_illness_a_life_lesson"" rel=""canonical""/>",1796,"Roberto D'Angelo and Francesca Fedeli thought their baby boy Mario was healthy -- until at 10 days old, they discovered he'd had a perinatal stroke. With Mario unable to control the left side of his body, they grappled with tough questions: Would he be ""normal?” Could he live a full life? The poignant story of parents facing their fears -- and how they turned them around.",1161947,TEDGlobal 2013
"<link href=""https://www.ted.com/talks/robert_gupta_and_joshua_roman_duet_on_passacaglia"" rel=""canonical""/>",1156,"It's a master class in collaboration as violinist Robert Gupta and cellist Joshua Roman perform Halvorsen's ""Passacaglia"" for violin and viola. Roman takes the viola part on his Stradivarius cello. It's powerful to watch the two musicians connect moment to moment (and recover from a mid-performance hiccup). The two are both TED Fellows, and their deep connection powers this sparkling duet.",802511,TED2011
"<link href=""https://www.ted.com/talks/julian_treasure_the_4_ways_sound_affects_us"" rel=""canonical""/>",660,"Playing sound effects both pleasant and awful, Julian Treasure shows how sound affects us in four significant ways. Listen carefully for a shocking fact about noisy open-plan offices.",1678073,TEDGlobal 2009
"<link href=""https://www.ted.com/talks/billie_jean_king_this_tennis_icon_paved_the_way_for_women_in_sports"" rel=""canonical""/>",2327,"Tennis legend Billie Jean King isn't just a pioneer of women's tennis -- she's a pioneer for women getting paid. In this freewheeling conversation, she talks about identity, the role of sports in social justice and the famous Battle of the Sexes match against Bobby Riggs.",987275,TEDWomen 2015
"<link href=""https://www.ted.com/talks/joe_landolina_this_gel_can_make_you_stop_bleeding_instantly"" rel=""canonical""/>",2138,"Forget stitches -- there's a better way to close wounds. In this talk, TED Fellow Joe Landolina talks about his invention -- a medical gel that can instantly stop traumatic bleeding without the need to apply pressure. (Contains medical images.)",1765957,TEDGlobal 2014
"<link href=""https://www.ted.com/talks/amanda_palmer_the_art_of_asking"" rel=""canonical""/>",1682,"Don't make people pay for music, says Amanda Palmer: Let them. In a passionate talk that begins in her days as a street performer (drop a dollar in the hat for the Eight-Foot Bride!), she examines the new relationship between artist and fan.",9416826,TED2013
"<link href=""https://www.ted.com/talks/camille_seaman_haunting_photos_of_ice"" rel=""canonical""/>",1171,"Photographer Camille Seaman shoots icebergs, showing the world the complex beauty of these massive, ancient chunks of ice. Dive in to her photo slideshow, ""The Last Iceberg.""",1027304,TED2011
"<link href=""https://www.ted.com/talks/james_watson_on_how_he_discovered_dna"" rel=""canonical""/>",35,"Nobel laureate James Watson opens TED2005 with the frank and funny story of how he and his research partner, Francis Crick, discovered the structure of DNA.",1628436,TED2005
"<link href=""https://www.ted.com/talks/lana_mazahreh_3_thoughtful_ways_to_conserve_water"" rel=""canonical""/>",8418,"According to the UN, nearly one in three people worldwide live in a country facing a water crisis, and less than five percent of the world lives in a country that has more water today than it did 20 years ago. Lana Mazahreh grew up in Jordan, a state that has experienced absolute water scarcity since 1973, where she learned how to conserve water as soon as she was old enough to learn how to write her name. In this practical talk, she shares three lessons from water-poor countries on how to save water and address what's fast becoming a global crisis.",1028654,TED@BCG Milan
"<link href=""https://www.ted.com/talks/nabila_alibhai_why_people_of_different_faiths_are_painting_their_houses_of_worship_yellow"" rel=""canonical""/>",2884,"Divisions along religious lines are deepening, and we're doubting more and more how much we have in common. How can we stand boldly and visibly together? Inspired by an idea from her collaborator Yazmany Arboleda, place-maker Nabila Alibhai and her colleagues created ""Colour in Faith,"" a social practice art project that unites people of different religions by getting them to paint each other's houses of worship yellow, in a show of solidarity. ""We've proven that the human family can come together and send a message far brighter and more powerful than the voices of those that wish to do us harm,"" Alibhai says.",1073956,TEDGlobal 2017
"<link href=""https://www.ted.com/talks/stefano_mancuso_the_roots_of_plant_intelligence"" rel=""canonical""/>",976,"Plants behave in some oddly intelligent ways: fighting predators, maximizing food opportunities ... But can we think of them as actually having a form of intelligence of their own? Italian botanist Stefano Mancuso presents intriguing evidence.",1167754,TEDGlobal 2010
"<link href=""https://www.ted.com/talks/lisa_bu_how_books_can_open_your_mind"" rel=""canonical""/>",1755,"What happens when a dream you've held since childhood ... doesn't come true? As Lisa Bu adjusted to a new life in the United States, she turned to books to expand her mind and create a new path for herself. She shares her unique approach to reading in this lovely, personal talk about the magic of books.",3631539,TED2013
"<link href=""https://www.ted.com/talks/margaret_mitchell_how_we_can_build_ai_to_help_humans_not_hurt_us"" rel=""canonical""/>",10360,"As a research scientist at Google, Margaret Mitchell helps develop computers that can communicate about what they see and understand. She tells a cautionary tale about the gaps, blind spots and biases we subconsciously encode into AI -- and asks us to consider what the technology we create today will mean for tomorrow. ""All that we see now is a snapshot in the evolution of artificial intelligence,"" Mitchell says. ""If we want AI to evolve in a way that helps humans, then we need to define the goals and strategies that enable that path now.""",953169,TED@BCG Milan
"<link href=""https://www.ted.com/talks/dame_ellen_macarthur_the_surprising_thing_i_learned_sailing_solo_around_the_world"" rel=""canonical""/>",2292,"What do you learn when you sail around the world on your own? When solo sailor Ellen MacArthur circled the globe – carrying everything she needed with her – she came back with new insight into the way the world works, as a place of interlocking cycles and finite resources, where the decisions we make today affect what's left for tomorrow. She proposes a bold new way to see the world's economic systems: not as linear, but as circular, where everything comes around.",1792469,TED2015
"<link href=""https://www.ted.com/talks/karima_bennoune_the_side_of_terrorism_that_doesn_t_make_headlines"" rel=""canonical""/>",2042,"Karima Bennoune shares four powerful stories of real people fighting against fundamentalism in their own communities — refusing to allow the faith they love to become a tool for crime, attacks and murder. These personal stories humanize one of the most overlooked human-rights struggles in the world.",1453188,TEDxExeter
"<link href=""https://www.ted.com/talks/gabe_zichermann_how_games_make_kids_smarter"" rel=""canonical""/>",1278,"Can playing video games make you more productive? Gabe Zichermann shows how games are making kids better problem-solvers, and will make us better at everything from driving to multi-tasking.",466721,TEDxKids@Brussels
"<link href=""https://www.ted.com/talks/david_agus_a_new_strategy_in_the_war_on_cancer"" rel=""canonical""/>",761,"Too often, says David Agus cancer treatments have a short-sighted focus on individual cells. He suggests a new, cross-disciplinary approach, using atypical drugs, computer modeling and protein analysis to diagnose and treat the whole body.",732085,TEDMED 2009
"<link href=""https://www.ted.com/talks/tania_luna_how_a_penny_made_me_feel_like_a_millionaire"" rel=""canonical""/>",1797,"As a young child, Tania Luna left her home in post-Chernobyl Ukraine to take asylum in the US. And one day, on the floor of the New York homeless shelter where she and her family lived, she found a penny. She has never again felt so rich. A meditation on the bittersweet joys of childhood -- and how to hold them in mind.",1708155,TED@New York
"<link href=""https://www.ted.com/talks/bobby_ghosh_why_global_jihad_is_losing"" rel=""canonical""/>",1623,"Throughout the history of Islam, says journalist Bobby Ghosh, there have been two sides to jihad: one, internal, a personal struggle to be better, the other external. A small minority has appropriated the second meaning, using it as an excuse for deadly global violence against ""the West."" Ghosh suggests it's time to reclaim the word.",679343,TEDxGeorgetown
"<link href=""https://www.ted.com/talks/john_la_grou_plugs_smart_power_outlets_1"" rel=""canonical""/>",566,"John La Grou unveils an ingenious new technology that will smarten up the electrical outlets in our homes, using microprocessors and RFID tags. The invention, Safeplug, promises to prevent deadly accidents like house fires -- and to conserve energy.",629266,TED2009
"<link href=""https://www.ted.com/talks/jane_fonda_and_lily_tomlin_a_hilarious_celebration_of_lifelong_female_friendship"" rel=""canonical""/>",2394,"Legendary duo Jane Fonda and Lily Tomlin have been friends for decades. In a raw, tender and wide-ranging conversation hosted by Pat Mitchell, the three discuss longevity, feminism, the differences between male and female friendship, what it means to live well and women's role in future of our planet. ""I don't even know what I would do without my women friends,"" Fonda says. ""I exist because I have my women friends.""",2727335,TEDWomen 2015
"<link href=""https://www.ted.com/talks/jacqueline_novogratz_on_patient_capitalism"" rel=""canonical""/>",157,"Jacqueline Novogratz shares stories of how ""patient capital"" can bring sustainable jobs, goods, services -- and dignity -- to the world's poorest.",932813,TEDGlobal 2007
"<link href=""https://www.ted.com/talks/angelica_dass_the_beauty_of_human_skin_in_every_color"" rel=""canonical""/>",2463,"Angélica Dass's photography challenges how we think about skin color and ethnic identity. In this personal talk, hear about the inspiration behind her portrait project, Humanæ, and her pursuit to document humanity's true colors rather than the untrue white, red, black and yellow associated with race.",2189067,TED2016
"<link href=""https://www.ted.com/talks/chrystia_freeland_the_rise_of_the_new_global_super_rich"" rel=""canonical""/>",1791,"Technology is advancing in leaps and bounds -- and so is economic inequality, says writer Chrystia Freeland. In an impassioned talk, she charts the rise of a new class of plutocrats (those who are extremely powerful because they are extremely wealthy), and suggests that globalization and new technology are actually fueling, rather than closing, the global income gap. Freeland lays out three problems with plutocracy … and one glimmer of hope.",1982039,TEDGlobal 2013
"<link href=""https://www.ted.com/talks/david_gallo_on_life_in_the_deep_oceans"" rel=""canonical""/>",343,"With vibrant video clips captured by submarines, David Gallo takes us to some of Earth's darkest, most violent, toxic and beautiful habitats, the valleys and volcanic ridges of the oceans' depths, where life is bizarre, resilient and shockingly abundant.",1023724,TED1998
"<link href=""https://www.ted.com/talks/tim_leberecht_4_ways_to_build_a_human_company_in_the_age_of_machines"" rel=""canonical""/>",2619,"In the face of artificial intelligence and machine learning, we need a new radical humanism, says Tim Leberecht. For the self-described ""business romantic,"" this means designing organizations and workplaces that celebrate authenticity instead of efficiency and questions instead of answers. Leberecht proposes four (admittedly subjective) principles for building beautiful organizations.",1496859,TEDSummit
"<link href=""https://www.ted.com/talks/ramesh_raskar_a_camera_that_takes_one_trillion_frames_per_second"" rel=""canonical""/>",1520,"Ramesh Raskar presents femto-photography, a new type of imaging so fast it visualizes the world one trillion frames per second, so detailed it shows light itself in motion. This technology may someday be used to build cameras that can look “around” corners or see inside the body without X-rays.",4257921,TEDGlobal 2012
"<link href=""https://www.ted.com/talks/bill_and_melinda_gates_why_giving_away_our_wealth_has_been_the_most_satisfying_thing_we_ve_done"" rel=""canonical""/>",1964,"In 1993, Bill and Melinda Gates took a walk on the beach and made a big decision: to give their Microsoft wealth back to society. In conversation with Chris Anderson, the couple talks about their work at the Bill & Melinda Gates Foundation, as well as their marriage, their children, their failures and the satisfaction of giving most of their money away.",3487272,TED2014
"<link href=""https://www.ted.com/talks/eddie_obeng_smart_failure_for_a_fast_changing_world"" rel=""canonical""/>",1580,"The world is changing much more rapidly than most people realize, says business educator Eddie Obeng -- and creative output cannot keep up. In this spirited talk, he highlights three important changes we should understand for better productivity, and calls for a stronger culture of “smart failure.""",1537599,TEDGlobal 2012
"<link href=""https://www.ted.com/talks/io_tillett_wright_fifty_shades_of_gay"" rel=""canonical""/>",1658,"iO Tillett Wright has photographed 2,000 people who consider themselves somewhere on the LGBTQ spectrum -- and asked many of them: Can you assign a percentage to how gay or straight you are? Most people, it turns out, consider themselves to exist in the gray areas of sexuality, not 100% gay or straight. Which presents a real problem when it comes to discrimination: Where do you draw the line?",2791583,TEDxWomen 2012
"<link href=""https://www.ted.com/talks/golan_levin_on_software_as_art"" rel=""canonical""/>",14,"Engineer and artist Golan Levin pushes the boundaries of what's possible with audiovisuals and technology. In an amazing TED display, he shows two programs he wrote to perform his original compositions.",620866,TED2004
"<link href=""https://www.ted.com/talks/chip_conley_measuring_what_makes_life_worthwhile"" rel=""canonical""/>",889,"When the dotcom bubble burst, hotelier Chip Conley went in search of a business model based on happiness. In an old friendship with an employee and in the wisdom of a Buddhist king, he learned that success comes from what you count.",2899690,TED2010
"<link href=""https://www.ted.com/talks/year_in_ideas_2015"" rel=""canonical""/>",2386,The Year In Ideas 2015.,0,2015
"<link href=""https://www.ted.com/talks/elizabeth_wayne_we_can_hack_our_immune_cells_to_fight_cancer"" rel=""canonical""/>",3231,"After decades of research and billions spent in clinical trials, we still have a problem with cancer drug delivery, says biomedical engineer Elizabeth Wayne. Chemotherapy kills cancer -- but it kills the rest of your body, too. Instead of using human design to fight cancer, why not use nature's? In this quick talk, Wayne explains how her lab is creating nanoparticle treatments that bind to immune cells, your body's first responders, to precisely target cancer cells without damaging healthy ones.",1213396,TED2017
"<link href=""https://www.ted.com/talks/george_dyson_on_project_orion"" rel=""canonical""/>",221,"Author George Dyson spins the story of Project Orion, a massive, nuclear-powered spacecraft that could have taken us to Saturn in five years. His insider’s perspective and a secret cache of documents bring an Atomic Age dream to life.",801874,TED2002
"<link href=""https://www.ted.com/talks/andrew_youn_3_reasons_why_we_can_win_the_fight_against_poverty"" rel=""canonical""/>",2522,"Half of the world's poorest people have something in common: they're small farmers. In this eye-opening talk, social entrepreneur Andrew Youn shows how his group, One Acre Fund, is helping these farmers lift themselves out of poverty by delivering to them life-sustaining farm services that are already in use all over the world. Enter this talk believing we'll never be able to solve hunger and extreme poverty, and leave it with a new understanding of the scale of the world's biggest problems.",1238137,TED2016
"<link href=""https://www.ted.com/talks/damian_palin_mining_minerals_from_seawater"" rel=""canonical""/>",1470,"The world needs clean water, and more and more, we're pulling it from the oceans, desalinating it, and drinking it. But what to do with the salty brine left behind? In this intriguing short talk, TED Fellow Damian Palin proposes an idea: Mine it for other minerals we need, with the help of some collaborative metal-munching bacteria.",969921,TED2012
"<link href=""https://www.ted.com/talks/david_rockwell_builds_at_ground_zero"" rel=""canonical""/>",8,"In this emotionally charged conversation with journalist Kurt Andersen, designer David Rockwell discusses the process of building a viewing platform at Ground Zero shortly after 9/11.",417915,TED2002
"<link href=""https://www.ted.com/talks/tim_brown_urges_designers_to_think_big"" rel=""canonical""/>",646,"Tim Brown says the design profession has a bigger role to play than just creating nifty, fashionable little objects. He calls for a shift to local, collaborative, participatory ""design thinking"" -- starting with the example of 19th-century design thinker Isambard Kingdom Brunel.",1456737,TEDGlobal 2009
"<link href=""https://www.ted.com/talks/david_holt_plays_mountain_music"" rel=""canonical""/>",413,"Folk musician and storyteller David Holt plays the banjo and shares photographs and old wisdom from the Appalachian Mountains. He also demonstrates some unusual instruments like the mouth bow -- and a surprising electric drum kit he calls ""thunderwear.""",535098,TED2004
"<link href=""https://www.ted.com/talks/kate_hartman_the_art_of_wearable_communication"" rel=""canonical""/>",1222,"Artist Kate Hartman uses wearable electronics to explore how we communicate, with ourselves and with the world. In this quirky and thought-provoking talk, she shows the ""Talk to Yourself Hat"", the ""Inflatable Heart"", the ""Glacier Embracing Suit"", and other unexpected devices.",897125,TED2011
"<link href=""https://www.ted.com/talks/eric_whitacre_a_virtual_choir_2_000_voices_strong"" rel=""canonical""/>",1110,"In a moving and madly viral video last year, composer Eric Whitacre led a virtual choir of singers from around the world. He talks through the creative challenges of making music powered by YouTube, and unveils the first 2 minutes of his new work, ""Sleep,"" with a video choir of 2,052. The full piece premiered a few weeks later (yes, on YouTube!).",3610267,TED2011
"<link href=""https://www.ted.com/talks/rory_sutherland_perspective_is_everything"" rel=""canonical""/>",1437,"The circumstances of our lives may matter less than how we see them, says Rory Sutherland. At TEDxAthens, he makes a compelling case for how reframing is the key to happiness.",2463838,TEDxAthens
"<link href=""https://www.ted.com/talks/roselinde_torres_what_it_takes_to_be_a_great_leader"" rel=""canonical""/>",1930,"The world is full of leadership programs, but the best way to learn how to lead might be right under your nose. In this clear, candid talk, Roselinde Torres describes 25 years observing truly great leaders at work, and shares the three simple but crucial questions would-be company chiefs need to ask to thrive in the future.",4122109,TED@BCG San Francisco
"<link href=""https://www.ted.com/talks/sunni_brown"" rel=""canonical""/>",1230,"Studies show that sketching and doodling improve our comprehension -- and our creative thinking. So why do we still feel embarrassed when we're caught doodling in a meeting? Sunni Brown says: Doodlers, unite! She makes the case for unlocking your brain via pad and pen.",1374036,TED2011
"<link href=""https://www.ted.com/talks/alexander_betts_our_refugee_system_is_failing_here_s_how_we_can_fix_it"" rel=""canonical""/>",2449,"A million refugees arrived in Europe this year, says Alexander Betts, and ""our response, frankly, has been pathetic."" Betts studies forced migration, the impossible choice for families between the camps, urban poverty and dangerous illegal journeys to safety. In this insightful talk, he offers four ways to change the way we treat refugees, so they can make an immediate contribution to their new homes. ""There's nothing inevitable about refugees being a cost,"" Betts says. ""They're human beings with skills, talents, aspirations, with the ability to make contributions -- if we let them.""",872422,TED2016
"<link href=""https://www.ted.com/talks/uldus_bakhtiozina_wry_photos_that_turn_stereotypes_upside_down"" rel=""canonical""/>",2089,"Artist Uldus Bakhtiozina uses photographs to poke fun at societal norms in her native Russia. A glimpse into Russian youth culture and a short, fun reminder not to take ourselves too seriously.",1525625,TED2014
"<link href=""https://www.ted.com/talks/stefan_sagmeister_the_power_of_time_off"" rel=""canonical""/>",649,"Every seven years, designer Stefan Sagmeister closes his New York studio for a yearlong sabbatical to rejuvenate and refresh their creative outlook. He explains the often overlooked value of time off and shows the innovative projects inspired by his time in Bali.",3092561,TEDGlobal 2009
"<link href=""https://www.ted.com/talks/edwidge_danticat_stories_of_haiti"" rel=""canonical""/>",737,"In the midst of an earlier crisis, Haitian author Edwidge Danticat reminds us of the contributions of Haiti's vibrant culture and people. This reading offers a timely message for today -- as the nation struggles in the aftermath of a devastating earthquake.",52146,University of California
"<link href=""https://www.ted.com/talks/courtney_martin_reinventing_feminism"" rel=""canonical""/>",1089,"Blogger Courtney E. Martin examines the perennially loaded word ""feminism"" in this personal and heartfelt talk. She talks through the three essential paradoxes of her generation's quest to define the term for themselves.",1000005,TEDWomen 2010
"<link href=""https://www.ted.com/talks/nalini_nadkani_on_conserving_the_canopy"" rel=""canonical""/>",476,"A unique ecosystem of plants, birds and monkeys thrives in the treetops of the rainforest. Nalini Nadkarni explores these canopy worlds -- and shares her findings with the world below, through dance, art and bold partnerships.",434695,TED2009
"<link href=""https://www.ted.com/talks/raghava_kk_shake_up_your_story"" rel=""canonical""/>",1219,"Artist Raghava KK demos his new children's book for iPad with a fun feature: when you shake it, the story -- and your perspective -- changes. In this charming short talk, he invites all of us to shake up our perspective a little bit.",959496,TEDGlobal 2011
"<link href=""https://www.ted.com/talks/peter_donnelly_shows_how_stats_fool_juries"" rel=""canonical""/>",67,Oxford mathematician Peter Donnelly reveals the common mistakes humans make in interpreting statistics -- and the devastating impact these errors can have on the outcome of criminal trials.,1092945,TEDGlobal 2005
"<link href=""https://www.ted.com/talks/robert_neuwirth_the_power_of_the_informal_economy"" rel=""canonical""/>",1555,"Robert Neuwirth spent four years among the chaotic stalls of street markets, talking to pushcart hawkers and gray marketers, to study the remarkable ""System D,"" the world's unlicensed economic network. Responsible for some 1.8 billion jobs, it's an economy of underappreciated power and scope.",808240,TEDGlobal 2012
"<link href=""https://www.ted.com/talks/anne_marie_slaughter_can_we_all_have_it_all"" rel=""canonical""/>",1943,"Public policy expert Anne-Marie Slaughter made waves with her 2012 article, ""Why women still can't have it all."" But really, is this only a question for women? Here Slaughter expands her ideas and explains why shifts in work culture, public policy and social mores can lead to more equality -- for men, women, all of us.",1588872,TEDGlobal 2013
"<link href=""https://www.ted.com/talks/mark_bittman_on_what_s_wrong_with_what_we_eat"" rel=""canonical""/>",263,"In this fiery and funny talk, New York Times food writer Mark Bittman weighs in on what's wrong with the way we eat now (too much meat, too few plants; too much fast food, too little home cooking), and why it's putting the entire planet at risk.",4092371,EG 2007
"<link href=""https://www.ted.com/talks/rory_bremner_s_one_man_world_summit"" rel=""canonical""/>",706,"Scottish funnyman Rory Bremner convenes a historic council on the TEDGlobal stage -- as he lampoons Gordon Brown, Barack Obama, George W. Bush and a cast of other world leaders with his hilarious impressions and biting commentary. See if you can catch a few sharp TED in-jokes.",1140023,TEDGlobal 2009
"<link href=""https://www.ted.com/talks/ory_okolloh_on_becoming_an_activist"" rel=""canonical""/>",330,Ory Okolloh tells the story of her life and her family -- and how she came to do her heroic work reporting on the doings of Kenya's parliament.,342671,TEDGlobal 2007
"<link href=""https://www.ted.com/talks/deborah_scranton_on_her_war_tapes"" rel=""canonical""/>",171,"Filmmaker Deborah Scranton talks about and shows clips from her documentary The War Tapes, which puts cameras in the hands of soldiers fighting in Iraq.",527388,TED2007
"<link href=""https://www.ted.com/talks/joel_levine"" rel=""canonical""/>",804,"Planetary scientist Joel Levine shows some intriguing -- and puzzling -- new discoveries about Mars: craters full of ice, traces of ancient oceans, and compelling hints at the presence, sometime in the past, of life. He makes the case for going back to Mars to find out more.",645868,TEDxNASA
"<link href=""https://www.ted.com/talks/john_maeda_on_the_simple_life"" rel=""canonical""/>",172,"The MIT Media Lab's John Maeda lives at the intersection of technology and art, a place that can get very complicated. Here he talks about paring down to basics.",1306633,TED2007
"<link href=""https://www.ted.com/talks/monica_lewinsky_the_price_of_shame"" rel=""canonical""/>",2217,"""Public shaming as a blood sport has to stop,"" says Monica Lewinsky. In 1998, she says, “I was Patient Zero of losing a personal reputation on a global scale almost instantaneously.” Today, the kind of online public shaming she went through has become constant -- and can turn deadly. In a brave talk, she takes a hard look at our online culture of humiliation, and asks for a different way.",12705550,TED2015
"<link href=""https://www.ted.com/talks/zaria_forman_drawings_that_show_the_beauty_and_fragility_of_earth"" rel=""canonical""/>",2511,"Zaria Forman's large-scale compositions of melting glaciers, icebergs floating in glassy water and waves cresting with foam explore moments of transition, turbulence and tranquility. Join her as she discusses the meditative process of artistic creation and the motivation behind her work. ""My drawings celebrate the beauty of what we all stand to lose,"" she says. ""I hope they can serve as records of sublime landscapes in flux.""",1233949,TED Talks Live
"<link href=""https://www.ted.com/talks/maz_jobrani_a_saudi_an_indian_and_an_iranian_walk_into_a_qatari_bar"" rel=""canonical""/>",1629,"Iranian-American comedian Maz Jobrani takes to the TEDxSummit stage in Doha, Qatar to take on serious issues in the Middle East -- like how many kisses to give when saying “Hi,” and what not to say on an American airplane.",10481879,TEDxSummit
"<link href=""https://www.ted.com/talks/dixon_chibanda_why_i_train_grandmothers_to_treat_depression"" rel=""canonical""/>",10376,"Dixon Chibanda is one of 12 psychiatrists in Zimbabwe -- for a population of more than 16 million. Realizing that his country would never be able to scale traditional methods of treating those with mental health issues, Chibanda helped to develop a beautiful solution powered by a limitless resource: grandmothers. In this extraordinary, inspirational talk, learn more about the friendship bench program, which trains grandmothers in evidence-based talk therapy and brings care, and hope, to those in need.",1026513,TEDWomen 2017
"<link href=""https://www.ted.com/talks/jack_horner_shape_shifting_dinosaurs"" rel=""canonical""/>",1352,"In a spellbinding talk, paleontologist Jack Horner tells the story of how iconoclastic thinking revealed a shocking secret about some of our most beloved dinosaurs.",1290490,TEDxVancouver
"<link href=""https://www.ted.com/talks/arik_hartmann_our_treatment_of_hiv_has_advanced_why_hasn_t_the_stigma_changed"" rel=""canonical""/>",2860,"The treatment of HIV has significantly advanced over the past three decades -- why hasn't our perception of people with the disease advanced along with it? After being diagnosed with HIV, Arik Hartmann chose to live transparently, being open about his status, in an effort to educate people. In this candid, personal talk, he shares what it's like to live with HIV -- and calls on us to dismiss our misconceptions about the disease.",928155,TEDxVermilionStreet
"<link href=""https://www.ted.com/talks/rory_sutherland_sweat_the_small_stuff"" rel=""canonical""/>",880,"It may seem that big problems require big solutions, but ad man Rory Sutherland says many flashy, expensive fixes are just obscuring better, simpler answers. To illustrate, he uses behavioral economics and hilarious examples.",1111357,TEDSalon London 2010
"<link href=""https://www.ted.com/talks/ariel_garten_know_thyself_with_a_brain_scanner"" rel=""canonical""/>",1338,"Imagine playing a video game controlled by your mind. Now imagine that game also teaches you about your own patterns of stress, relaxation and focus. Ariel Garten shows how looking at our own brain activity gives new meaning to the ancient dictum ""know thyself.""",414066,TEDxToronto 2011
"<link href=""https://www.ted.com/talks/elora_hardy_magical_houses_made_of_bamboo"" rel=""canonical""/>",2251,"You've never seen buildings like this. The stunning bamboo homes built by Elora Hardy and her team in Bali twist, curve and surprise at every turn. They defy convention because the bamboo itself is so enigmatic. No two poles of bamboo are alike, so every home, bridge and bathroom is exquisitely unique. In this beautiful, immersive talk, she shares the potential of bamboo, as both a sustainable resource and a spark for the imagination. ""We have had to invent our own rules,"" she says.",3762741,TED2015
"<link href=""https://www.ted.com/talks/john_hodgman_s_brief_digression"" rel=""canonical""/>",374,"Humorist John Hodgman rambles through a new story about aliens, physics, time, space and the way all of these somehow contribute to a sweet, perfect memory of falling in love.",2029200,TED2008
"<link href=""https://www.ted.com/talks/john_lloyd_an_animated_tour_of_the_invisible"" rel=""canonical""/>",1578,"Gravity. The stars in day. Thoughts. The human genome. Time. Atoms. So much of what really matters in the world is impossible to see. A stunning animation of John Lloyd's classic TEDTalk from 2009, which will make you question what you actually know.",2172234,TED-Ed
"<link href=""https://www.ted.com/talks/niall_ferguson_the_6_killer_apps_of_prosperity"" rel=""canonical""/>",1226,"Over the past few centuries, Western cultures have been very good at creating general prosperity for themselves. Historian Niall Ferguson asks: Why the West, and less so the rest? He suggests half a dozen big ideas from Western culture -- call them the 6 killer apps -- that promote wealth, stability and innovation. And in this new century, he says, these apps are all shareable.",1609189,TEDGlobal 2011
