slug,view_count,event,filmed
allison_hunt_gets_a_new_hip,573525,TED2007,2007-03-03
alwar_balasubramaniam_sculpture_of_substance_and_absence,434137,TEDIndia 2009,2009-11-06
alyson_mcgregor_why_medicine_often_has_dangerous_side_effects_for_women,1438766,TEDxProvidence,2014-09-20
alyssa_monks_how_loss_helped_one_artist_find_beauty_in_imperfection,1176507,TEDxIndianaUniversity,2015-11-13
amanda_bennett_a_heroic_narrative_for_letting_go,1011107,TEDMED 2013,2013-04-18
amanda_burden_how_public_spaces_make_cities_work,1097650,TED2014,2014-03-20
amanda_palmer_jherek_bischoff_usman_riaz_space_oddity,748397,TED2016,2016-02-19
amanda_palmer_the_art_of_asking,9218642,TED2013,2013-02-27
amber_case_we_are_all_cyborgs_now,1522871,TEDWomen 2010,2010-12-08
ameenah_gurib_fakim_an_interview_with_mauritius_s_first_female_president,725877,TEDGlobal 2017,2017-08-27
ameenah_gurib_fakim_humble_plants_that_hide_surprising_secrets,987616,TEDGlobal 2014,2014-10-27
ameera_harouda_why_i_put_myself_in_danger_to_tell_the_stories_of_gaza,986279,TED2016,2016-02-18
amel_karboul_the_global_learning_crisis_and_what_to_do_about_it,1181853,TED@BCG Milan,2017-10-04
ami_klin_a_new_way_to_diagnose_autism,589265,TEDxPeachtree,2011-09-10
amit_sood_building_a_museum_of_museums_on_the_web,622871,TED2011,2011-03-02
amit_sood_every_piece_of_art_you_ve_ever_wanted_to_see_up_close_and_searchable,950488,TED2016,2016-02-17
