slug,view_count,event,filmed
jody_williams_a_realistic_vision_for_world_peace,699196,TEDWomen 2010,2010-12-08
joe_derisi_hunts_the_next_killer_virus,408177,TED2006,2006-02-02
joe_desimone_what_if_3d_printing_was_25x_faster,2706369,TED2015,2015-03-16
joe_gebbia_how_airbnb_designs_for_trust,2081555,TED2016,2016-02-16
joe_kowan_how_i_beat_stage_fright,2336367,TED@State Street Boston,2013-11-18
joe_landolina_this_gel_can_make_you_stop_bleeding_instantly,1718515,TEDGlobal 2014,2014-10-14
joe_lassiter_we_need_nuclear_power_to_solve_climate_change,1095064,TEDSummit,2016-06-28
joe_madiath_better_toilets_better_life,988909,TEDGlobal 2014,2014-10-21
joe_sabia_the_technology_of_storytelling,1131816,Full Spectrum Auditions,2011-05-24
joe_smith_how_to_use_a_paper_towel,3328453,TEDxConcordiaUPortland,2012-03-31
joel_burns_tells_gay_teens_it_gets_better,283189,Fort Worth City Council,2010-10-12
joel_levine,633056,TEDxNASA,2009-11-20
joel_selanikio_the_surprising_seeds_of_a_big_data_revolution_in_healthcare,697238,TEDxAustin,2013-02-09
joey_alexander_an_11_year_old_prodigy_performs_old_school_jazz,2214229,TED2015,2015-03-25
johan_rockstrom_let_the_environment_guide_our_development,961487,TEDGlobal 2010,2010-07-16
johann_hari_everything_you_think_you_know_about_addiction_is_wrong,8495048,TEDGlobalLondon,2015-06-16
johanna_blakley_lessons_from_fashion_s_free_culture,1049695,TEDxUSC,2010-04-13
johanna_blakley_social_media_and_the_end_of_gender,1299432,TEDWomen 2010,2010-12-08
john_bohannon_dance_vs_powerpoint_a_modest_proposal,499326,TEDxBrussels,2011-11-22
john_delaney_wiring_an_interactive_ocean,334675,Mission Blue Voyage,2010-04-14
john_doerr_sees_salvation_and_profit_in_greentech,848090,TED2007,2007-03-03
john_francis_walks_the_earth,752615,TED2008,2008-02-02
john_gerzema_the_post_crisis_consumer,772127,TEDxKC,2009-08-20
john_graham_cumming_the_greatest_machine_that_never_was,1195110,TEDxImperialCollege,2012-03-24
john_green_the_nerd_s_guide_to_learning_everything_online,3470346,TEDxIndianapolis,2012-11-19
john_hardy_my_green_school_dream,984269,TEDGlobal 2010,2010-07-15
john_hockenberry_we_are_all_designers,747194,TED2012,2012-03-01
john_hodgman_design_explained,1141596,TED2012,2012-03-01
john_hodgman_s_brief_digression,1978379,TED2008,2008-02-02
john_hunter_on_the_world_peace_game,1423182,TED2011,2011-03-04
john_kasaona_from_poachers_to_caretakers,334932,TED2010,2010-02-10
john_koenig_beautiful_new_words_to_describe_obscure_emotions,1448967,TEDxBerkeley,2016-02-06
john_la_grou_plugs_smart_power_outlets_1,615848,TED2009,2009-02-06
john_legend_redemption_song,1601951,TED2016,2016-02-15
john_lloyd_an_animated_tour_of_the_invisible,342769,TED-Ed,2012-09-26
john_lloyd_inventories_the_invisible,1165355,TEDGlobal 2009,2009-07-23
john_maeda_how_art_technology_and_design_inform_creative_leaders,1061481,TEDGlobal 2012,2012-06-26
john_maeda_on_design,247048,Serious Play 2008,2008-05-05
john_maeda_on_the_simple_life,1256887,TED2007,2007-03-03
john_mcwhorter_4_reasons_to_learn_a_new_language,2356504,TED2016,2016-02-16
john_mcwhorter_txtng_is_killing_language_jk,2273235,TED2013,2013-02-28
john_searle_our_shared_condition_consciousness,1353244,TEDxCERN,2013-05-08
john_underkoffler_drive_3d_data_with_a_gesture,1522819,TED2010,2010-02-11
john_walker_re_creates_great_performances,334312,EG 2007,2007-12-12
john_wilbanks_let_s_pool_our_medical_data,547491,TEDGlobal 2012,2012-06-29
john_wooden_on_the_difference_between_winning_and_success,5021604,TED2001,2001-02-01
johnny_lee_demos_wii_remote_hacks,5524498,TED2008,2008-02-28
joi_ito_want_to_innovate_become_a_now_ist,2103387,TED2014,2014-03-14
jok_church_a_circle_of_caring,740934,TED2007,2007-03-03
jon_boogz_and_lil_buck_a_dance_to_honor_mother_earth,232796,TED2017,2017-04-24
jon_bowers_we_should_aim_for_perfection_and_stop_fearing_failure,1183539,TED@UPS,2017-07-20
jon_gosier_the_problem_with_trickle_down_techonomics,764763,TEDGlobal 2014,2014-10-16
jon_mooallem_the_strange_story_of_the_teddy_bear_and_what_it_reveals_about_our_relationship_to_animals,1108959,TED2014,2014-03-19
jon_nguyen_tour_the_solar_system_from_home,738079,TEDxSanDiego,2011-12-03
jon_ronson_strange_answers_to_the_psychopath_test,11653365,TED2012,2012-03-01
jon_ronson_what_happens_when_online_shaming_spirals_out_of_control,2782017,TEDGlobalLondon,2015-06-16
jonas_eliasson_how_to_solve_traffic_jams,1224065,TEDxHelvetia,2012-09-13
jonas_gahr_store_in_defense_of_dialogue,350704,TEDxRC2,2011-11-11
jonathan_drori_every_pollen_grain_has_a_story,409889,TED2010,2010-02-11
jonathan_drori_on_what_we_think_we_know,1040683,TED2007,2007-02-02
jonathan_drori_the_beautiful_tricks_of_flowers,956045,TEDSalon London Spring 2011,2011-05-18
jonathan_drori_why_we_re_storing_billions_of_seeds,569076,TED2009,2009-02-06
jonathan_eisen_meet_your_microbes,752815,TEDMED 2012,2012-04-16
