,slug,view_count,event,filmed
832,brian_cox_on_cern_s_supercollider,3139896,TED2008,2008-03-03
837,brian_greene_on_string_theory,4290372,TED2005,2005-02-02
838,brian_greene_why_is_our_universe_fine_tuned_for_life,3511842,TED2012,2012-02-27
839,brian_little_who_are_you_really_the_puzzle_of_personality,4713101,TED2016,2016-02-16
840,brian_skerry_reveals_ocean_s_glory_and_horror,1442772,Mission Blue Voyage,2010-04-16
842,brittney_cooper_the_racial_politics_of_time,730813,TEDWomen 2016,2016-10-26
843,bruce_aylward_how_we_ll_stop_polio,523279,TED2011,2011-03-03
844,bruce_aylward_humanity_vs_ebola_the_winning_strategies_in_a_terrifying_war,872282,TEDxPlaceDesNations,2014-12-11
845,bruce_bueno_de_mesquita_predicts_iran_s_future,764541,TED2009,2009-02-07
848,bruce_mccall_s_faux_nostalgia,407050,Serious Play 2008,2008-05-12
849,bruce_schneier,762043,TEDxPSU,2010-10-10
850,bruno_bowden_folds_while_rufus_cappadocia_plays,379411,TED2008,2008-02-02
851,bruno_maisonnier_dance_tiny_robots,1208472,TEDxConcorde,2013-01-24
854,bunker_roy,3663555,TEDGlobal 2011,2011-07-14
857,caitlin_doughty_a_burial_practice_that_nourishes_the_planet,1017308,TEDMED 2016,2016-11-30
858,caitlin_quattromani_and_lauran_arledge_how_our_friendship_survives_our_opposing_politics,944642,TEDxMileHigh,2017-07-08
860,caleb_barlow_where_is_cybercrime_really_coming_from,1384272,TED@IBM,2016-11-15
861,caleb_chung_plays_with_pleo,427528,EG 2007,2007-12-12
864,cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model,21085001,TEDxMidAtlantic,2012-10-27
865,cameron_sinclair_on_open_source_architecture,1227555,TED2006,2006-02-26
867,camille_a_brown_a_visual_history_of_social_dance_in_25_moves,867044,TED Studio,2016-06-01
873,carina_morillo_to_understand_autism_don_t_look_away,499111,TEDxRiodelaPlata,2016-10-22
874,carl_honore_praises_slowness,2523861,TEDGlobal 2005,2005-07-07
875,carl_safina_the_oil_spill_s_unseen_culprits_victims,620530,TEDxOilSpill,2010-06-28
879,carlos_bautista_the_awful_logic_of_land_mines_and_an_app_that_helps_people_avoid_them,770808,TED Residency,2017-06-06
880,carmen_agra_deedy_spins_stories,704172,TED2005,2005-02-02
886,caroline_paul_to_raise_brave_girls_encourage_adventure,1608575,TEDWomen 2016,2016-10-26
888,carolyn_bertozzi_what_the_sugar_coating_on_your_cells_is_trying_to_tell_you,1024113,TEDxStanford,2016-04-24
890,carolyn_porco_flies_us_to_saturn,2666844,TED2007,2007-03-03
892,carrie_nugent_adventures_of_an_asteroid_hunter,1118334,TED2016,2016-02-15
893,carrie_poppy_a_scientific_approach_to_the_paranormal,1340674,TEDxVienna,2016-10-22
896,casey_brown_know_your_worth_and_then_ask_for_it,2334987,TEDxColumbusWomen,2015-05-28
897,casey_gerald_the_gospel_of_doubt,1550866,TED2016,2016-02-19
898,cat_laine_engineering_a_better_life_for_all,156172,Business Innovation Factory,2009-10-07
902,catherine_mohr_builds_green,778785,TED2010,2010-02-13
904,cathy_o_neil_the_era_of_blind_faith_in_big_data_must_end,1078490,TED2017,2017-04-24
905,cedric_villani_what_s_so_sexy_about_math,1680106,TED2016,2016-02-16
911,chance_coughenour_how_your_pictures_can_help_reclaim_lost_history,777447,TEDxHamburg,2016-06-08
913,charity_wayua_a_few_ways_to_fix_an_ailing_government,993919,TED@IBM,2016-11-15
915,charles_elachi_on_the_mars_rovers,565814,Serious Play 2008,2008-05-07
917,charles_hazlewood,509584,TEDGlobal 2011,2011-07-13
918,charles_leadbeater_on_education,788139,TEDSalon London 2010,2010-04-25
919,charles_leadbeater_on_innovation,1447500,TEDGlobal 2005,2005-07-14
928,chetan_bhatt_dare_to_refuse_the_origin_myths_that_claim_who_you_are,1191467,TEDxExeter,2015-04-24
929,cheyenne_cochrane_a_celebration_of_natural_hair,1238095,TEDxBeaconStreet,2016-11-19
931,chika_ezeanya_esiobu_how_africa_can_use_its_traditional_knowledge_to_make_progress,918259,TEDGlobal 2017,2017-08-27
933,chimamanda_ngozi_adichie_we_should_all_be_feminists,1497916,TEDxEuston,2012-12-01
934,chinaka_hodge_what_will_you_tell_your_daughters_about_2016,1161736,TEDWomen 2016,2016-10-28
939,chris_abani_on_the_stories_of_africa,578529,TEDGlobal 2007,2007-06-06
942,chris_anderson_shares_his_vision_for_ted,329558,TED2002,2002-02-02
951,chris_jordan_pictures_some_shocking_stats,1567076,TED2008,2008-02-02
955,chris_milk_the_birth_of_virtual_reality_as_an_art_form,832700,TED2016,2016-02-18
956,chris_sheldrick_a_precise_three_word_address_for_every_place_on_earth,1065563,TEDGlobal 2017,2017-08-27
958,christen_reighter_i_don_t_want_children_stop_telling_me_i_ll_change_my_mind,1189930,TEDxMileHighWomen,2016-10-28
959,christian_rodriguez_what_teen_pregnancy_looks_like_in_latin_america,1124144,TEDGlobal 2017,2017-08-27
961,christiane_amanpour_how_to_seek_truth_in_the_era_of_fake_news,1248506,TEDGlobal>NYC,2017-09-20
962,christien_meindertsma_on_pig_05049,1170918,TEDGlobal 2010,2010-07-09
966,christopher_bell_bring_on_the_female_superheroes,1061768,TEDxColoradoSprings,2015-10-17
967,christopher_deam_restyles_the_airstream,310997,TED2002,2002-02-02
970,christopher_m00t_poole_the_case_for_anonymity_online,1466795,TED2010,2010-02-12
971,christopher_mcdougall_are_we_born_to_run,2497057,TEDxPennQuarter,2010-07-11
973,christopher_soghoian_a_brief_history_of_phone_wiretapping_and_how_to_avoid_it,1295810,TED2015,2015-03-17
975,christopher_soghoian_your_smartphone_is_a_civil_rights_issue,1374324,TEDSummit,2016-06-29
982,clifford_stoll_on_everything,2324387,TED2006,2006-02-28
985,colin_camerer_neuroscience_game_theory_monkeys,1407252,TEDxCaltech,2013-01-18
986,colin_grant_the_son_of_a_difficult_father,888921,TEDxBrighton,2012-10-26
992,courtney_martin_reinventing_feminism,973330,TEDWomen 2010,2010-12-10
993,courtney_martin_the_new_american_dream,1459735,TED2016,2016-02-19
995,craig_venter_on_dna_and_the_sea,566712,TEDGlobal 2005,2005-02-24
996,craig_venter_unveils_synthetic_life,1097428,TED in the Field,2010-05-21
998,curtis_wall_street_carroll_how_i_learned_to_read_and_trade_stocks_in_prison,2445709,TEDxSanQuentin,2016-01-22
1000,cynthia_erivo_natural_woman_and_johnny_and_donna,113220,TED2017,2017-04-24
1003,daan_roosegaarde_a_smog_vacuum_cleaner_and_other_magical_city_designs,914990,TED2017,2017-04-24
