,slug,view_count,event,filmed
1429,halla_tomasdottir_it_s_time_for_women_to_run_for_office,900445,TEDWomen 2016,2016-10-28
1431,handpring_puppet_co_the_genius_puppetry_behind_war_horse,1559314,TED2011,2011-03-01
1434,hannah_fry_is_life_really_that_complex,377051,TEDxUCL,2012-06-03
1439,hans_rosling_at_state,1507205,TED@State,2009-06-04
1440,hans_rosling_on_global_population_growth,3035554,TED@Cannes,2010-06-21
1444,hans_rosling_the_good_news_of_the_decade,750141,TEDxChange,2010-09-20
1445,hans_rosling_the_truth_about_hiv,928991,TED2009,2009-02-06
1446,harald_haas_a_breakthrough_new_kind_of_wireless_internet,2005141,TEDGlobal>London,2015-09-29
1451,harsha_bhogle_the_rise_of_cricket_the_rise_of_india,587870,TEDIndia 2009,2009-11-11
1453,hasan_elahi,830366,TEDGlobal 2011,2011-07-14
1456,heather_knight_silicon_based_comedy,773907,TEDWomen 2010,2010-12-08
1457,hector_garcia_we_train_soldiers_for_war_let_s_train_them_to_come_home_too,1011308,TED Talks Live,2015-11-04
1458,hector_ruiz_on_connecting_the_world,317454,TEDGlobal 2007,2007-06-06
1460,helen_czerski_fun_home_experiments_that_teach_you_physics,1276825,TEDxManchester,2017-02-19
1462,helen_fisher_technology_hasn_t_changed_love_here_s_why,1655583,TEDSummit,2016-06-27
1463,helen_fisher_tells_us_why_we_love_cheat,9576847,TED2006,2006-02-24
1464,helen_pearson_lessons_from_the_longest_study_on_human_development,1536639,TED2017,2017-04-24
1468,henry_markram_supercomputing_the_brain_s_secrets,1208641,TEDGlobal 2009,2009-07-23
1469,herbie_hancock_s_all_star_set,664749,TED2009,2009-02-06
1475,hod_lipson_builds_self_aware_robots,1225661,TED2007,2007-03-06
1479,how_much_does_a_video_weigh,199390,TED-Ed,2013-02-28
1480,how_simple_ideas_lead_to_scientific_discoveries,887582,TED-Ed,2011-11-02
1481,howard_rheingold_on_collaboration,964095,TED2005,2005-02-02
1482,huang_yi_kuka_a_human_robot_dance_duet,325664,TED2017,2017-04-24
1487,iain_hutchison_saving_faces,624312,TEDGlobal 2010,2010-07-14
1488,iain_mcgilchrist_the_divided_brain,657851,RSA Animate,2011-10-21
1489,ian_bremmer_how_the_us_should_use_its_superpower_status,870695,TEDxNewYork,2016-09-10
1494,imam_feisal_abdul_rauf,449235,TEDSalon 2009 Compassion,2009-10-14
1495,imogen_heap_wait,901144,TEDGlobal 2009,2009-07-22
1496,inara_george_sings_family_tree,222734,TEDxGreatPacificGarbagePatch,2010-11-06
1497,ines_hercovich_why_women_stay_silent_after_sexual_assault,344029,TEDxRiodelaPlata,2015-09-24
1499,ingrid_betancourt_what_six_years_in_captivity_taught_me_about_fear_and_faith,655988,TED2017,2017-04-24
1501,ione_wells_how_we_talk_about_sexual_assault_online,1060417,TEDSummit,2016-06-30
1502,iqbal_quadir_says_mobiles_fight_poverty,515454,TEDGlobal 2005,2005-07-13
1503,irwin_redlener_warns_of_nuclear_terrorism,687455,TED2008,2008-02-29
1504,isaac_lidsky_what_reality_are_you_creating_for_yourself,2669276,TEDSummit,2016-06-26
1510,israel_and_iran_a_love_story,2046571,TEDxJaffa 2012,2012-09-06
1516,iyad_rahwan_what_moral_decisions_should_driverless_cars_make,928879,TEDxCambridge,2016-09-29
1517,j_d_vance_america_s_forgotten_working_class,1121471,TEDNYC,2016-09-07
1523,jack_conte_how_artists_can_finally_get_paid_in_the_digital_age,1000287,TED2017,2017-04-24
1525,jack_horner_shape_shifting_dinosaurs,1096603,TEDxVancouver,2011-11-11
1526,jackie_savitz_save_the_oceans_feed_the_world,1195311,TEDxMidAtlantic 2013,2013-10-25
1527,jackie_tabick,182132,TEDSalon 2009 Compassion,2009-10-01
1528,jackson_bird_how_to_talk_and_listen_to_transgender_people,948203,TED Residency,2017-06-06
1529,jackson_browne_if_i_could_be_anywhere,664940,TEDxGreatPacificGarbagePatch,2010-11-04
1533,jacqueline_novogratz_invests_in_ending_poverty,733320,TEDGlobal 2005,2005-07-01
1536,jae_rhim_lee,1445817,TEDGlobal 2011,2011-07-14
1540,jakob_trollback_rethinks_the_music_video,485453,TED2007,2007-03-03
1541,jamais_cascio_looks_ahead,215150,TED2006,2006-02-02
1545,james_beacham_how_we_explore_unanswered_questions_in_physics,1457388,TEDxBerlin,2016-09-04
1546,james_burchfield_plays_invisible_turntables,802563,TED2003,2003-02-02
1549,james_forbes,211229,Chautauqua Institution,2009-10-01
1551,james_green_3_moons_and_a_planet_that_could_have_alien_life,1523045,TED Talks Live,2015-11-06
1553,james_howard_kunstler_dissects_suburbia,1718496,TED2004,2004-02-02
1555,james_nachtwey_fights_xdrtb,426586,TED Prize Wish,2008-10-03
1556,james_nachtwey_s_searing_pictures_of_war,1296096,TED2007,2007-03-08
1558,james_randi,2704667,TED2007,2007-02-02
1559,james_stavridis_how_nato_s_supreme_commander_thinks_about_global_security,726768,TEDGlobal 2012,2012-06-26
1560,james_surowiecki_on_the_turning_point_for_social_media,440768,TED2005,2005-02-02
1561,james_veitch_the_agony_of_trying_to_unsubscribe,7998600,TEDSummit,2016-06-29
1565,jamie_drummond_how_to_set_goals_for_the_world,519265,TEDGlobal 2012,2012-06-27
1567,jamie_oliver,7863886,TED2010,2010-02-20
1570,jamila_raqib_the_secret_to_effective_nonviolent_resistance,900887,TED Talks Live,2015-11-04
1571,jan_chipchase_on_our_mobile_phones,706608,TED2007,2007-03-03
1575,jane_goodall_at_tedglobal_07,617578,TEDGlobal 2007,2007-06-06
1578,jane_mcgonigal_massively_multi_player_thumb_wrestling,1165779,TEDGlobal 2013,2013-06-11
1581,janet_echelman,1885174,TED2011,2011-03-03
1585,janine_benyus_shares_nature_s_designs,1959274,TED2005,2005-02-24
1590,jared_diamond_on_why_societies_collapse,1756444,TED2003,2003-02-28
1601,jay_silver_hack_a_banana_make_a_keyboard,1338589,TEDSalon NY2013,2013-04-24
1604,jd_schramm,1649147,TEDActive 2011,2011-03-03
1607,jeanne_gang_buildings_that_blend_nature_and_city,1112627,TEDWomen 2016,2016-10-26
1610,jeff_bezos_gifts_vs_choices,688762,Princeton University,2010-05-15
1611,jeff_bezos_on_the_next_web_innovation,875056,TED2003,2003-02-02
1612,jeff_han_demos_his_breakthrough_touchscreen,4567099,TED2006,2006-02-06
1613,jeff_hancock_3_types_of_digital_lies,1218129,TEDxWinnipeg,2012-09-13
1616,jeff_kirschner_this_app_makes_it_fun_to_pick_up_litter,1114408,TED Residency,2016-12-13
1617,jeff_skoll_makes_movies_that_make_change,741194,TED2007,2007-03-03
1619,jeff_speck_4_ways_to_make_a_city_more_walkable,1473351,TEDxMidAtlantic,2013-10-25
1620,jeff_speck_the_walkable_city,1072151,TEDCity2.0,2013-09-20
1622,jeffrey_kluger_the_sibling_bond,454859,TEDxAsheville,2011-11-13
1624,jen_brea_what_happens_when_you_have_a_disease_doctors_can_t_diagnose,1586128,TEDSummit,2016-06-27
1628,jennifer_doudna_we_can_now_edit_our_dna_but_let_s_do_it_wisely,2069007,TEDGlobal>London,2015-09-29
1631,jennifer_granick_how_the_us_government_spies_on_people_who_protest_including_you,1058252,TEDxStanford,2017-04-23
1634,jennifer_lin_improvs_piano_magic,1659199,TED2004,2004-02-26
1636,jennifer_pluznick_you_smell_with_your_body_not_just_your_nose,1384351,TEDMED 2016,2016-11-30
1638,jer_thorp_make_data_more_human,224977,TEDxVancouver,2011-11-12
1642,jeremy_jackson,642402,Mission Blue Voyage,2010-04-09
1644,jeremy_rifkin_on_the_empathic_civilization,550473,RSA Animate,2010-08-19
1645,jessa_gamble_how_to_sleep,2315856,TEDGlobal 2010,2010-07-15
1646,jesse_schell_when_games_invade_real_life,451403,DICE Summit 2010,2010-02-18
1649,jessica_green_good_germs_make_healthy_buildings,966449,TED2013,2013-02-25
1652,jessica_shortall_how_america_fails_new_parents_and_their_babies,1416871,TEDxSMU,2015-10-17
1654,jia_jiang_what_i_learned_from_100_days_of_rejection,3822422,TEDxMtHood,2015-05-02
1657,jill_heinerth_the_mysterious_world_of_underwater_caves,1513483,TEDYouth 2015,2015-11-14
1658,jill_shargaa_please_please_people_let_s_put_the_awe_back_in_awesome,1510043,TED@NYC,2014-07-09
1659,jill_sobule_sings_to_al_gore,607664,TED2006,2006-02-26
1663,jim_hemerling_5_ways_to_lead_in_an_era_of_constant_change,1948366,TED@BCG Paris,2016-05-18
1667,jim_yong_kim_doesn_t_everyone_deserve_a_chance_at_a_good_life,1523507,TED2017,2017-04-24
1669,jimmy_lin_a_simple_new_blood_test_that_can_catch_cancer_early,1221802,TED2017,2017-04-24
1672,jinha_lee_a_tool_that_lets_you_touch_pixels,1795957,TED2013,2013-02-27
1674,jk_rowling_the_fringe_benefits_of_failure,1431151,Harvard University,2008-06-05
1675,joachim_de_posada_says_don_t_eat_the_marshmallow_yet,2746134,TED2009,2009-02-05
1676,joan_blades_and_john_gable_free_yourself_from_your_filter_bubbles,798499,TEDWomen 2017,2017-11-02
1677,joan_halifax,1493894,TEDWomen 2010,2010-12-03
1678,joann_kuchera_morin_tours_the_allosphere,641879,TED2009,2009-02-05
1681,joe_derisi_hunts_the_next_killer_virus,408177,TED2006,2006-02-02
1686,joe_lassiter_we_need_nuclear_power_to_solve_climate_change,1095064,TEDSummit,2016-06-28
1687,joe_madiath_better_toilets_better_life,988909,TEDGlobal 2014,2014-10-21
1690,joel_burns_tells_gay_teens_it_gets_better,283189,Fort Worth City Council,2010-10-12
1691,joel_levine,633056,TEDxNASA,2009-11-20
1693,joey_alexander_an_11_year_old_prodigy_performs_old_school_jazz,2214229,TED2015,2015-03-25
1695,johann_hari_everything_you_think_you_know_about_addiction_is_wrong,8495048,TEDGlobalLondon,2015-06-16
1701,john_francis_walks_the_earth,752615,TED2008,2008-02-02
1707,john_hodgman_design_explained,1141596,TED2012,2012-03-01
1708,john_hodgman_s_brief_digression,1978379,TED2008,2008-02-02
1710,john_kasaona_from_poachers_to_caretakers,334932,TED2010,2010-02-10
1711,john_koenig_beautiful_new_words_to_describe_obscure_emotions,1448967,TEDxBerkeley,2016-02-06
1712,john_la_grou_plugs_smart_power_outlets_1,615848,TED2009,2009-02-06
1713,john_legend_redemption_song,1601951,TED2016,2016-02-15
1715,john_lloyd_inventories_the_invisible,1165355,TEDGlobal 2009,2009-07-23
1717,john_maeda_on_design,247048,Serious Play 2008,2008-05-05
1718,john_maeda_on_the_simple_life,1256887,TED2007,2007-03-03
1719,john_mcwhorter_4_reasons_to_learn_a_new_language,2356504,TED2016,2016-02-16
1722,john_underkoffler_drive_3d_data_with_a_gesture,1522819,TED2010,2010-02-11
1723,john_walker_re_creates_great_performances,334312,EG 2007,2007-12-12
1726,johnny_lee_demos_wii_remote_hacks,5524498,TED2008,2008-02-28
1729,jon_boogz_and_lil_buck_a_dance_to_honor_mother_earth,232796,TED2017,2017-04-24
1730,jon_bowers_we_should_aim_for_perfection_and_stop_fearing_failure,1183539,TED@UPS,2017-07-20
1732,jon_mooallem_the_strange_story_of_the_teddy_bear_and_what_it_reveals_about_our_relationship_to_animals,1108959,TED2014,2014-03-19
1744,jonathan_haidt_can_a_divided_america_heal,1584730,TEDNYC,2016-11-02
1746,jonathan_haidt_humanity_s_stairway_to_self_transcendence,1149040,TED2012,2012-02-29
1747,jonathan_haidt_on_the_moral_mind,2849131,TED2008,2008-03-01
1748,jonathan_harris_collects_stories,862371,TED2007,2007-12-12
1751,jonathan_marks_in_praise_of_conflict,1186390,TEDxPSU,2017-02-12
1752,jonathan_rossiter_a_robot_that_eats_pollution,1167560,TEDxWarwick,2016-03-05
1753,jonathan_tepperman_the_risky_politics_of_progress,954750,TEDSummit,2016-06-29
1756,jorge_drexler_poetry_music_and_identity,762774,TED2017,2017-04-24
1757,jorge_ramos_why_journalists_have_an_obligation_to_challenge_power,439546,TED2017,2017-04-24
1759,jose_abreu_on_kids_transformed_by_music,958146,TED2009,2009-02-05
1760,jose_bowen_beethoven_the_businessman,120142,TEDxSMU,2011-12-03
1766,joseph_ravenell_how_barbershops_can_keep_men_healthy,1037362,TED2016,2016-02-16
1767,joseph_redmon_how_a_computer_learns_to_recognize_objects_instantly,1466221,TED2017,2017-04-24
1776,joshua_prince_ramus_on_seattle_s_library,1000120,TED2006,2006-02-23
1777,joshua_smith_new_nanotech_to_catch_cancer_early,941592,TED@IBM,2016-11-15
1779,joy_buolamwini_how_i_m_fighting_bias_in_algorithms,926925,TEDxBeaconStreet,2016-11-19
1784,juan_enriquez_how_to_think_about_digital_tattoos,1596677,TED2013,2013-02-26
1785,juan_enriquez_on_genomics_and_our_future,707593,TED2003,2003-02-02
1786,juan_enriquez_shares_mindboggling_new_science,2981454,TED2009,2009-02-04
1787,juan_enriquez_wants_to_grow_energy,960159,TEDSalon 2007 Hot Science,2007-09-09
1789,juan_enriquez_what_will_humans_look_like_in_100_years,2689742,TEDSummit,2016-06-26
1791,jude_kelly_why_women_should_tell_the_stories_of_humanity,1133167,TEDWomen 2016,2016-10-26
1794,julia_bacha,754576,TEDGlobal 2011,2011-07-13
1795,julia_bacha_how_women_wage_conflict_without_violence,825115,TEDSummit,2016-06-29
1796,julia_galef_why_you_think_you_re_right_even_if_you_re_wrong,3310591,TEDxPSU,2016-02-28
1797,julia_sweeney_has_the_talk,3418482,TED2010,2010-02-12
1806,juliana_machado_ferreira,326963,TED2010,2010-02-02
1809,julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting,2878327,TED Talks Live,2015-11-01
1811,julio_gil_future_tech_will_give_you_the_benefits_of_city_life_anywhere,1117780,TED@UPS,2017-07-20
1812,jun_wang_how_digital_dna_could_help_you_make_better_health_choices,1062123,TED2017,2017-04-24
496,juno_mac_the_laws_that_sex_workers_really_want,1870461,TEDxEastEnd,2016-01-30
1813,just_how_small_is_an_atom,443945,TED-Ed,2012-04-25
1814,justin_baldoni_why_i_m_done_trying_to_be_man_enough,1740041,TEDWomen 2017,2017-11-01
1815,justin_davidson_why_shiny_glass_towers_are_bad_for_city_life,1306411,TEDNYC,2017-03-08
1819,kaki_king_a_musical_escape_into_a_world_of_light_and_color,1387837,TEDWomen 2015,2015-05-27
1820,kaki_king_rocks_out_to_pink_noise,1070070,TED2008,2008-03-01
1822,kamau_gachigi_success_stories_from_kenya_s_first_makerspace,691713,TEDGlobal 2017,2017-08-27
1823,kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty,1238384,TEDxBeaconStreet,2015-11-14
1831,karim_abouelnaga_a_summer_school_kids_actually_want_to_attend,1071633,TED2017,2017-04-24
1832,karima_bennoune_the_side_of_terrorism_that_doesn_t_make_headlines,1441178,TEDxExeter,2014-03-24
1833,karina_galperin_why_don_t_we_write_words_the_way_pronounce_them,492971,TEDxRiodelaPlata,2015-09-24
1834,karoliina_korppoo_how_a_video_game_might_help_us_build_better_cities,1196853,TED2017,2017-04-24
1837,kary_mullis_on_what_scientists_do,540106,TED2002,2002-02-02
1838,kate_adams_4_larger_than_life_lessons_from_soap_operas,1448335,TED@UPS,2016-09-15
1840,kate_marvel_can_clouds_buy_us_more_time_to_solve_climate_change,1091395,TED2017,2017-04-24
1841,kate_orff_oysters_as_architecture,325519,TEDWomen 2010,2010-12-08
1842,kate_stafford_how_human_noise_affects_ocean_habitats,1088537,TEDxCERN,2016-11-05
1845,katherine_kuchenbecker_the_technology_of_touch,277160,TEDYouth 2012,2012-11-17
1846,kathryn_schulz_don_t_regret_regret,1852330,TEDSalon NY2011,2011-11-09
1848,kathy_hull_stories_from_a_home_for_terminally_ill_children,935818,TEDWomen 2016,2016-10-26
1849,katie_bouman_what_does_a_black_hole_look_like,1621932,TEDxBeaconStreet,2016-11-19
1850,katie_hinde_what_we_don_t_know_about_mother_s_milk,1168464,TEDWomen 2016,2016-10-26
1851,katrina_spade_when_i_die_recompose_me,1146044,TEDxOrcasIsland,2016-03-05
1853,kayla_briet_why_do_i_make_art_to_build_time_capsules_for_my_heritage,693087,TED2017,2017-04-24
1858,keith_nolan_deaf_in_the_military,125279,TEDxIslay,2011-04-23
1860,keller_rinaudo_how_we_re_using_drones_to_deliver_blood_and_save_lives,776071,TEDGlobal 2017,2017-08-27
1861,kelli_anderson_design_to_challenge_reality,310299,TEDxPhoenix,2011-11-11
1862,kelli_jean_drinkwater_enough_with_the_fear_of_fat,1653892,TEDxSydney,2016-05-24
1868,ken_robinson_changing_education_paradigms,1902520,RSA Animate,2010-10-14
1870,ken_robinson_says_schools_kill_creativity,49211088,TED2006,2006-02-25
1871,kenichi_ebina_s_magic_moves,1740166,TED2007,2007-03-03
1876,keolu_fox_why_genetic_research_must_be_more_diverse,835260,TED2016,2016-02-15
1879,kevin_b_jones_why_curiosity_is_the_key_to_science_and_medicine,911991,TEDxSaltLakeCity,2015-09-19
1883,kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution,1469043,TEDSummit,2016-06-29
1890,kevin_surace_fixing_drywall_to_heal_the_planet,357758,TED2009,2009-02-06
1893,kid_president_i_think_we_all_need_a_pep_talk,847291,SoulPancake,2013-01-24
1895,kimberle_crenshaw_the_urgency_of_intersectionality,937858,TEDWomen 2016,2016-10-27
1897,kio_stark_why_you_should_talk_to_strangers,2716736,TED2016,2016-02-16
1902,kirk_sorensen_thorium_an_alternative_nuclear_fuel,397105,TEDxYYC,2011-04-01
1904,kitra_cahana_stories_of_the_homeless_and_hidden,1480921,TED2014,2014-03-17
1905,klaus_stadlmann_the_world_s_smallest_3d_printer,276355,TEDxVienna,2011-10-04
1909,kristen_ashburn_s_heart_rending_pictures_of_aids,365691,TED2003,2003-02-28
1911,kristen_marhaver_why_i_still_have_hope_for_coral_reefs,1153604,TED2017,2017-04-24
1912,kristin_poinar_what_s_hidden_under_the_greenland_ice_sheet,1307733,TED2017,2017-04-24
1916,lakshmi_pratury_on_letter_writing,557471,TED2007,2007-03-03
1917,lalitesh_katragadda_making_maps_to_fight_disaster_build_economies,364376,TEDIndia 2009,2009-11-09
1918,laolu_senbanjo_the_sacred_art_of_the_ori,834562,TED2017,2017-04-24
1919,lara_setrakian_3_ways_to_fix_a_broken_news_industry,1033402,TEDNYC,2017-01-26
1921,larry_brilliant_wants_to_stop_pandemics,712119,TED2006,2006-02-23
1922,larry_lessig_says_the_law_is_strangling_creativity,1919868,TED2007,2007-03-03
1923,larry_page_where_s_google_going_next,2370273,TED2014,2014-03-20
1929,laura_boushnak_the_deadly_legacy_of_cluster_bombs,659073,TEDSummit,2016-06-27
1931,laura_galante_how_to_exploit_democracy,1269464,TED2017,2017-04-24
1932,laura_indolfi_good_news_in_the_fight_against_pancreatic_cancer,1217845,TED2016,2016-02-15
1937,laura_vanderkam_how_to_gain_control_of_your_free_time,5489077,TEDWomen 2016,2016-10-27
1939,lauren_sallan_how_to_win_at_evolution_and_survive_a_mass_extinction,877907,TED2017,2017-04-24
1940,lauren_zalaznick,667303,TEDWomen 2010,2010-12-03
1942,laurie_santos,1260133,TEDGlobal 2010,2010-07-16
1946,leah_chase_and_pat_mitchell_an_interview_with_the_queen_of_creole_cuisine,768359,TEDWomen 2017,2017-11-01
1953,leila_hoteit_3_lessons_on_success_from_an_arab_businesswoman,1948281,TED@BCG Paris,2016-05-18
1956,lennart_green_does_close_up_card_magic,4325322,TED2005,2005-02-02
1960,leslie_dodson_don_t_misrepresent_africa,123579,TEDxBoulder 2011,2011-09-24
1963,lessig_nyed,392962,TEDxNYED,2010-04-10
1964,levon_biss_mind_blowing_magnified_portraits_of_insects,959300,TED2017,2017-04-24
1965,lewis_pugh_s_mind_shifting_mt_everest_swim,1042505,TEDGlobal 2010,2010-07-15
1966,lewis_pugh_swims_the_north_pole,700269,TEDGlobal 2009,2009-09-09
1970,lidia_yuknavitch_the_beauty_of_being_a_misfit,2319525,TED2016,2016-02-18
1971,lies_damned_lies_and_statistics_about_tedtalks,2246411,TED2010,2010-02-10
1977,lisa_dyson_a_forgotten_space_age_technology_could_change_how_we_grow_food,1278961,TED@BCG Paris,2016-05-18
1979,lisa_genova_what_you_can_do_to_prevent_alzheimer_s,2580112,TED2017,2017-04-24
1981,lisa_kristine_glimpses_of_modern_day_slavery,2632903,TEDxMaui,2012-01-22
1986,liz_diller_a_giant_bubble_for_debate,666427,TED2012,2012-03-01
1987,liz_diller_plays_with_architecture,611658,EG 2007,2007-12-12
1988,liz_hajek_what_rivers_can_tell_us_about_the_earth_s_history,1242206,TEDxPSU,2014-03-02
1990,lloyd_pendleton_the_housing_first_approach_to_homelessness,757570,TEDMED 2016,2016-11-30
1995,louie_schwartzberg_nature_beauty_gratitude,3746606,TEDxSF,2011-06-11
1997,louise_fresco_on_feeding_the_whole_world,940788,TED2009,2009-02-05
1998,louise_leakey_digs_for_humanity_s_origins,676032,TED2008,2008-02-02
2002,lucianne_walkowicz_look_up_for_a_change,179288,TEDxPhoenix,2011-11-11
2004,lucy_kalanithi_what_makes_life_worth_living_in_the_face_of_death,1739526,TEDMED 2016,2016-11-30
2009,luma_mufleh_don_t_feel_sorry_for_refugees_believe_in_them,1505958,TED2017,2017-04-24
2010,luvvie_ajayi_get_comfortable_with_being_uncomfortable,1361334,TEDWomen 2017,2017-11-01
2011,lux_narayan_what_i_learned_from_2_000_obituaries,1472408,TEDNYC,2017-01-26
2022,majora_carter_s_tale_of_urban_renewal,1825238,TED2006,2006-02-26
2023,malcolm_gladwell,1094647,TEDGlobal 2011,2011-07-14
2024,malcolm_gladwell_on_spaghetti_sauce,7171549,TED2004,2004-02-26
2026,malcolm_london_high_school_training_ground,1228917,TED Talks Education,2013-05-07
2027,malcolm_mclaren_authentic_creativity_vs_karaoke_culture,252358,Handheld Learning,2009-10-06
2028,mallika_sarabhai,490867,TEDIndia 2009,2009-11-04
2029,mallory_soldner_your_company_s_data_could_end_world_hunger,986348,TED@UPS,2016-09-15
2031,mandy_len_catron_a_better_way_to_talk_about_love,1923636,TEDxSFU,2015-11-15
2033,manoush_zomorodi_how_boredom_can_lead_to_your_most_brilliant_ideas,1566809,TED2017,2017-04-24
2035,manu_prakash_lifesaving_scientific_tools_made_of_paper,1226258,TED2017,2017-04-24
2037,manwar_ali_inside_the_mind_of_a_former_radical_jihadist,1877008,TEDxExeter,2016-04-15
2040,marc_koska_the_devastating_toll_of_syringe_reuse,634867,TEDGlobal 2009,2009-07-24
2043,marc_raibert_meet_spot_the_robot_dog_that_can_run_hop_and_open_doors,2195045,TED2017,2017-04-24
2045,marcin_jakubowski,1506506,TED2011,2011-03-01
2049,marco_tempest_maybe_the_best_robot_demo_ever,2003269,TED2014,2014-03-20
2050,marco_tempest_the_augmented_reality_of_techno_magic,1054676,TEDGlobal 2011,2011-07-13
2054,marcus_du_sautoy_symmetry_reality_s_riddle,1026685,TEDGlobal 2009,2009-07-24
2055,margaret_bourdeaux_why_civilians_suffer_more_once_a_war_is_over,908207,TEDxBeaconStreet,2015-11-14
2061,margaret_wertheim_crochets_the_coral_reef,1307298,TED2009,2009-02-06
2062,margrethe_vestager_the_new_age_of_corporate_monopolies,1124870,TEDGlobal>NYC,2017-09-20
2065,mariana_mazzucato_government_investor_risk_taker_innovator,833684,TEDGlobal 2013,2013-06-26
2066,mariano_sigman_and_dan_ariely_how_can_groups_make_good_decisions,986996,TED Studio,2017-04-24
2067,mariano_sigman_your_words_may_predict_your_future_mental_health,2390676,TED2016,2016-02-18
2069,marisa_fick_jordan_shares_the_wonder_of_zulu_wire_art,300707,TEDGlobal 2007,2007-06-06
2077,mark_raymond_victims_of_the_city,143621,TEDxPortofSpain,2011-11-11
2079,mark_roth_suspended_animation,712217,TED2010,2010-02-02
2084,marlon_peterson_am_i_not_human_a_call_for_criminal_justice_reform,1075301,TED Residency,2016-12-13
2085,martin_ford_how_we_ll_earn_money_in_a_future_without_jobs,1574474,TED2017,2017-04-24
2091,martin_reeves_how_to_build_a_business_that_lasts_100_years,1786378,TED@BCG Paris,2016-05-18
2092,martin_seligman_on_the_state_of_psychology,4336927,TED2004,2004-02-02
2094,martina_flor_the_secret_language_of_letter_design,292823,TEDxRiodelaPlata,2016-10-22
2097,marwa_al_sabouni_how_syria_s_architecture_laid_the_foundation_for_brutal_war,905981,TEDSummit,2016-06-26
2106,mathieu_lehanneur_demos_science_inspired_design,435804,TEDGlobal 2009,2009-07-23
2107,matilda_ho_the_future_of_good_food_in_china,914443,TED2017,2017-04-24
2109,matt_kenyon_how_i_snuck_a_memorial_for_iraqi_civilians_into_the_us_government,835688,TED2015,2015-03-17
2113,matt_weinstein_what_bernie_madoff_couldn_t_steal_from_me,151724,AORN Congress,2009-03-14
2115,matthew_childs_9_rules_of_rock_climbing,755602,TED2009,2009-02-05
2116,matthew_o_reilly_am_i_dying_the_honest_answer,1977741,TED@NYC,2014-07-08
2117,matthew_white_gives_the_euphonium_a_new_voice,790680,TEDGlobal 2009,2009-07-23
2121,maurice_conti_the_incredible_inventions_of_intuitive_ai,3245773,TEDxPortland,2016-04-09
2125,maya_beiser_s_and_her_cello_s,936697,TED2011,2011-03-02
2126,maya_penn_meet_a_young_entrepreneur_cartoonist_designer_activist,1488565,TEDWomen 2013,2013-12-05
2129,maz_jobrani_make_jokes_not_bombs,4821299,TEDGlobal 2010,2010-07-16
2136,megan_phelps_roper_i_grew_up_in_the_westboro_baptist_church_here_s_why_i_left,5158284,TEDNYC,2017-02-15
2138,mehdi_ordikhani_seyedlar_what_happens_in_your_brain_when_you_pay_attention,2181371,TED2017,2017-04-24
2139,mei_lin_neo_the_fascinating_secret_lives_of_giant_clams,987570,TED2017,2017-04-24
2145,melissa_fleming_let_s_help_refugees_thrive_not_just_survive,1150251,TEDGlobal 2014,2014-10-08
2146,melissa_garren_the_sea_we_ve_hardly_seen,175026,TEDxMonterey,2012-04-18
2148,melissa_walker_art_can_heal_ptsd_s_invisible_wounds,856610,TEDMED 2015,2015-11-18
2149,mellody_hobson_color_blind_or_color_brave,2280664,TED2014,2014-03-20
2152,mena_trott_tours_her_blog_world,526733,TED2006,2006-02-23
2627,mia_nacamulli_the_benefits_of_a_bilingual_brain,0,TED-Ed,2015-06-23
2157,michael_bierut_how_to_design_a_library_that_makes_kids_want_to_read,1499351,TEDNYC,2017-03-08
2158,michael_bodekaer_this_virtual_lab_will_revolutionize_science_class,1182442,TEDxCERN,2015-10-09
2159,michael_botticelli_addiction_is_a_disease_we_should_treat_it_like_one,1334520,TEDxMidAtlantic,2016-10-21
2161,michael_green_how_we_can_make_the_world_a_better_place_by_2030,1209320,TEDGlobal>London,2015-09-29
2167,michael_merzenich_on_the_elastic_brain,1269731,TED2004,2004-02-28
2170,michael_moschen_juggles_rhythm_and_motion,953484,TED2002,2002-03-03
2171,michael_murphy_architecture_that_s_built_to_heal,1231084,TED2016,2016-02-17
2172,michael_nielsen_open_science_now,141300,TEDxWaterloo,2011-03-03
2174,michael_patrick_lynch_how_to_see_past_your_own_perspective_and_find_truth,1450432,TED2017,2017-04-24
2177,michael_porter_why_business_can_be_good_at_solving_social_problems,1638523,TEDGlobal 2013,2013-06-14
2178,michael_pritchard_invents_a_water_filter,3677311,TEDGlobal 2009,2009-07-22
2181,michael_sandel_what_s_the_right_thing_to_do,402723,Justice with Michael Sandel,2005-09-01
2183,michael_shellenberger_how_fear_of_nuclear_power_is_hurting_the_environment,1226913,TEDSummit,2016-06-28
2184,michael_shermer_on_believing_strange_things,5471978,TED2006,2006-02-23
2189,michele_l_sullivan_asking_for_help_is_a_strength_not_a_weakness,1329448,TEDWomen 2016,2016-10-26
2190,michelle_borkin_can_astronomers_help_doctors,165007,TEDxBoston 2011,2011-06-28
2191,michelle_obama,1052835,Elizabeth G. Anderson School,2009-04-04
2194,mick_mountz_the_hidden_world_of_box_packing,285028,TEDxBoston 2011,2011-06-28
2197,mihaly_csikszentmihalyi_on_flow,4250422,TED2004,2004-02-29
