slug,view_count,event,filmed
amos_winter_the_cheap_all_terrain_wheelchair,1045131,TEDxBoston 2012,2012-06-22
amy_adele_hasinoff_how_to_practice_safe_sexting,1326919,TEDxMileHigh,2016-06-25
amy_cuddy_your_body_language_shapes_who_you_are,45123038,TEDGlobal 2012,2012-06-26
amy_green_a_video_game_to_cope_with_grief,1263054,TEDNYC,2017-02-15
amy_lockwood_selling_condoms_in_the_congo,846492,TEDGlobal 2011,2011-07-14
amy_purdy_living_beyond_limits,1688858,TEDxOrangeCoast,2011-05-19
amy_smith_shares_simple_lifesaving_design,1458949,TED2006,2006-02-24
amy_tan_on_creativity,2574542,TED2008,2008-02-02
amy_webb_how_i_hacked_online_dating,6562273,TEDSalon NY2013,2013-04-11
anab_jain_why_we_need_to_imagine_different_futures,1458643,TED2017,2017-04-24
anand_agarawala_demos_his_bumptop_desktop,1487143,TED2007,2007-03-03
anand_giridharadas_a_letter_to_all_who_have_lost_in_this_era,977966,TEDSummit,2016-06-29
anand_giridharadas_a_tale_of_two_americas_and_the_mini_mart_where_they_collided,1303728,TED2015,2015-03-10
anand_varma_a_thrilling_look_at_the_first_21_days_of_a_bee_s_life,2254584,TED2015,2015-03-18
ananda_shankar_jayant_fights_cancer_with_a_dance,596115,TEDIndia 2009,2009-11-12
anant_agarwal_why_massively_open_online_courses_still_matter,1118053,TED2013,2013-06-14
anas_aremeyaw_anas_how_i_named_shamed_and_jailed,1434032,TED2013,2013-02-28
anastasia_taylor_lind_fighters_and_mourners_of_the_ukrainian_revolution,704290,TEDGlobal 2014,2014-10-14
anders_ynnerman_visualizing_the_medical_data_explosion,468188,TEDxGöteborg 2010,2010-11-20
andras_forgacs_leather_and_meat_without_killing_animals,1180433,TEDGlobal 2013,2013-06-13
andrea_ghez_the_hunt_for_a_supermassive_black_hole,773715,TEDGlobal 2009,2009-07-22
andreas_ekstrom_the_moral_bias_behind_your_search_results,1430765,TEDxOslo,2015-01-29
andreas_raptopoulos_no_roads_there_s_a_drone_for_that,1004428,TEDGlobal 2013,2013-06-11
andreas_schleicher_use_data_to_build_better_schools,712980,TEDGlobal 2012,2012-07-14
andres_lozano_parkinson_s_depression_and_the_switch_that_might_turn_them_off,1325288,TEDxCaltech,2013-01-18
andres_ruzo_the_mythical_boiling_river_of_the_amazon,1364659,TEDGlobal 2014,2014-10-06
andrew_bastawrous_get_your_next_eye_exam_on_a_smartphone,1063408,TED2014,2014-03-17
andrew_bird_s_one_man_orchestra_of_the_imagination,1254711,TED2010,2010-02-10
andrew_blum_what_is_the_internet_really,1364311,TEDGlobal 2012,2012-06-27
andrew_connolly_what_s_the_next_window_into_our_universe,1234007,TED2014,2014-03-19
andrew_fitzgerald_adventures_in_twitter_fiction,1008818,TEDSalon NY2013,2013-07-15
andrew_mcafee_are_droids_taking_our_jobs,972508,TEDxBoston 2012,2012-06-04
andrew_mcafee_what_will_future_jobs_look_like,2191370,TED2013,2013-02-28
andrew_mwenda_takes_a_new_look_at_africa,775989,TEDGlobal 2007,2007-06-06
andrew_pelling_this_scientist_makes_ears_out_of_apples,1213554,TED2016,2016-02-15
andrew_solomon_depression_the_secret_we_share,7761458,TEDxMet,2013-10-23
andrew_solomon_how_the_worst_moments_in_our_lives_make_us_who_we_are,4994573,TED2014,2014-03-12
andrew_solomon_love_no_matter_what,4214116,TEDMED 2013,2013-04-24
andrew_stanton_the_clues_to_a_great_story,2832037,TED2012,2012-02-28
andrew_youn_3_reasons_why_we_can_win_the_fight_against_poverty,1198818,TED2016,2016-02-17
andy_hobsbawm_says_do_the_green_thing,436577,TED2008,2008-02-02
andy_puddicombe_all_it_takes_is_10_mindful_minutes,8467434,TEDSalon London Fall 2012,2012-11-16
andy_yen_think_your_email_s_private_think_again,1601806,TEDGlobal 2014,2014-10-08
angela_belcher_using_nature_to_grow_batteries,872791,TEDxCaltech,2011-01-14
angela_lee_duckworth_grit_the_power_of_passion_and_perseverance,12992530,TED Talks Education,2013-04-04
angela_patton_a_father_daughter_dance_in_prison,835121,TEDxWomen 2012,2012-11-30
angela_wang_how_china_is_changing_the_future_of_shopping,850937,TED@BCG Milan,2017-10-04
angelica_dass_the_beauty_of_human_skin_in_every_color,2089802,TED2016,2016-02-18
angelo_vermeulen_how_to_go_to_space_without_having_to_go_to_space,1105302,TEDGlobal 2014,2014-10-06
ani_liu_smelfies_and_other_experiments_in_synthetic_biology,807370,TEDxBeaconStreet,2016-11-19
anika_paulson_how_i_found_myself_through_music,955237,TED2017,2017-04-24
anil_ananthaswamy,540798,INK Conference,2010-12-08
anil_gupta_india_s_hidden_hotbeds_of_invention,661994,TEDIndia 2009,2009-11-06
anil_seth_how_your_brain_hallucinates_your_conscious_reality,3898551,TED2017,2017-04-24
anindya_kundu_the_boost_students_need_to_overcome_obstacles,1208079,TED Residency,2017-06-06
anjali_tripathi_why_earth_may_someday_look_like_mars,1005638,TEDxBeaconStreet,2015-11-14
anjan_chatterjee_how_your_brain_decides_what_is_beautiful,1833460,TEDMED 2016,2016-11-30
anjan_sundaram_why_i_risked_my_life_to_expose_a_government_massacre,840582,TED2017,2017-04-24
ann_cooper_talks_school_lunches,1190063,EG 2007,2007-12-12
ann_morgan_my_year_reading_a_book_from_every_country_in_the_world,1493482,TEDGlobal>London,2015-09-29
anna_deavere_smith_s_american_character,1001584,TED2005,2005-02-25
anna_heringer_the_warmth_and_wisdom_of_mud_buildings,902282,TED2017,2017-04-24
anna_mracek_dietrich_a_plane_you_can_drive,931534,TEDGlobal 2011,2011-07-15
anne_curzan_what_makes_a_word_real,1675821,TEDxUofM,2014-03-15
anne_lamott_12_truths_i_learned_from_life_and_writing,2303278,TED2017,2017-04-24
anne_madden_meet_the_microscopic_life_in_your_home_and_on_your_face,1133180,TED2017,2017-04-24
anne_marie_slaughter_can_we_all_have_it_all,1502879,TEDGlobal 2013,2013-06-11
anne_milgram_why_smart_statistics_are_the_key_to_fighting_crime,899328,TED@BCG San Francisco,2013-10-30
annette_heuser_the_3_agencies_with_the_power_to_make_or_break_economies,1216867,TEDGlobal 2013,2013-06-07
annie_lennox_why_i_am_an_hiv_aids_activist,493698,TEDGlobal 2010,2010-07-15
annie_murphy_paul_what_we_learn_before_we_re_born,1873700,TEDGlobal 2011,2011-07-12
annmarie_thomas_squishy_circuits,869427,TED2011,2011-03-02
anote_tong_my_country_will_be_underwater_soon_unless_we_work_together,1069040,Mission Blue II,2015-10-10
anthony_atala_growing_organs_engineering_tissue,1730129,TEDMED 2009,2009-10-21
anthony_atala_printing_a_human_kidney,2816268,TED2011,2011-03-03
